STA_SEQ,CWFishYr1,SampYr1,SampYr2,CWFishYr2,FishDiff,YrDiff,y1Cold,y2Cold,ColdDiff,YrMax,YrMaxDiff,YrMaxColdDiff,CWFishMaxYr,CWFishMinYr,Dist
14227,5.333333333,2011,1991,72,66.666666667,20,0,1,1,2011,-66.666666667,-1,5.333333333,72,0.272727272727273
14270,18,2010,1989,2.666666667,15.333333333,21,1,0,1,2010,15.333333333,1,18,2.666666667,0.272727272727273
14294,13,2014,1993,9.333333333,3.666666667,21,1,0,1,2014,3.666666667,1,13,9.333333333,0.391304347826087
14355,105.2631579,2016,1991,8,97.2631579,25,1,0,1,2016,97.2631579,1,105.2631579,8,0.2
14402,12.43243243,2012,1988,5.442176871,6.990255559,24,1,0,1,2012,6.990255559,1,12.43243243,5.442176871,0.444444444444444
14453,0,2011,1991,41,41,20,0,1,1,2011,-41,-1,0,41,0.2
14500,0,2015,1991,116,116,24,0,1,1,2015,-116,-1,0,116,1
14605,7.5,2011,1990,2,5.5,21,0,0,0,2011,5.5,0,7.5,2,0.181818181818182
14740,40.78212291,2013,1991,114.6666667,73.88454379,22,1,1,2,2013,-73.88454379,0,40.78212291,114.6666667,0.238095238095238
14813,40.74074074,2016,1992,16.66666667,24.07407407,24,1,1,2,2016,24.07407407,0,40.74074074,16.66666667,0.375
14819,44,2010,1988,4,40,22,1,0,1,2010,40,1,44,4,0.333333333333333
14857,23.91304348,2011,1989,100,76.08695652,22,1,1,2,2011,-76.08695652,0,23.91304348,100,0.2
14863,8.571428571,2014,1994,84,75.428571429,20,0,1,1,2014,-75.428571429,-1,8.571428571,84,0.6
14866,5.389221557,2014,1994,28,22.610778443,20,0,1,1,2014,-22.610778443,-1,5.389221557,28,0.333333333333333
15003,14.86697966,2014,1994,18,3.13302034,20,1,1,2,2014,-3.13302034,0,14.86697966,18,0.3
15007,40,2014,1994,74,34,20,1,1,2,2014,-34,0,40,74,0.333333333333333
15014,24.28571429,2012,1989,58,33.71428571,23,1,1,2,2012,-33.71428571,0,24.28571429,58,0
15035,21.77419355,2016,1992,34.66666667,12.89247312,24,1,1,2,2016,-12.89247312,0,21.77419355,34.66666667,0.384615384615385
15171,29.33333333,2010,1988,0,29.33333333,22,1,0,1,2010,29.33333333,1,29.33333333,0,0.277777777777778
15240,22.66666667,2011,1988,37.33333333,14.66666666,23,1,1,2,2011,-14.66666666,0,22.66666667,37.33333333,0.428571428571429
15274,1,2018,1990,76,75,28,0,1,1,2018,-75,-1,1,76,0.333333333333333
15316,22,2011,1989,23.07692308,1.07692308,22,1,1,2,2011,-1.07692308,0,22,23.07692308,0.230769230769231
15505,189.3333333,2016,1992,110,79.3333333,24,1,1,2,2016,79.3333333,0,189.3333333,110,0.5
15509,6,2013,1992,53,47,21,0,1,1,2013,-47,-1,6,53,0.4
15516,176.0869565,2009,1988,153.3333333,22.7536232,21,1,1,2,2009,22.7536232,0,176.0869565,153.3333333,0.4
