staSeq,locationName,Sample_Year,YearGrp,SumOfABUNDANCE,LAB_ID,CTDEEP LabID,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,TaxonNameCurrent,WQXTaxonName,VisitNum,BCG_Attribute,CTTempOptimaAvg,RegionalTempOptimaClass,RelAbund
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Acroneuria carolinensis,L,1,27-Oct-98,Acroneuria carolinensis,,,3,4,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Amnicola limosa,A,1,27-Oct-98,Amnicola limosus,,,5,6.666666667,Warm,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Apatania,L,2,27-Oct-98,Apatania,,,3,1.666666667,Cold,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Brachycentrus,L,1,27-Oct-98,Brachycentrus,,,3,,,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Ceratopsyche sparna,L,6,27-Oct-98,Ceratopsyche sparna,,,5,4.666666667,Cool,0.032786885
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Cheumatopsyche,L,3,27-Oct-98,Cheumatopsyche,,,5,5.666666667,Cool,0.016393443
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Chimarra aterrima,L,11,27-Oct-98,Chimarra aterrima,,,4,5.333333333,Cool,0.06010929
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Chironomidae,L,1,27-Oct-98,Chironomidae,,,,,,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Corydalus cornutus,L,1,27-Oct-98,Corydalus cornutus,,,4,5,Warm,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Dolophilodes,L,5,27-Oct-98,Dolophilodes,,,3,3.666666667,Cool,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Epeorus,L,4,27-Oct-98,Epeorus,,,2,2.666666667,Cool,0.021857923
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Ephemerella dorothea,L,5,27-Oct-98,Ephemerella dorothea,,,3,4.333333333,Cold,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Ephemerella rotunda,L,1,27-Oct-98,Ephemerella invaria,,,3,4.333333333,Cold,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Glossosoma,L,8,27-Oct-98,Glossosoma,,,4,4.333333333,Cool,0.043715847
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Helicopsyche borealis,L,3,27-Oct-98,Helicopsyche borealis,,,2,5.333333333,Cool,0.016393443
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Hemerodromia,L,1,27-Oct-98,Hemerodromia,,,5,6,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Hexatoma,L,1,27-Oct-98,Hexatoma,,,2,2.333333333,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Hydropsyche betteni,L,1,27-Oct-98,Hydropsyche betteni,,,5,5.333333333,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Isonychia,L,15,27-Oct-98,Isonychia,,,3,4.666666667,Warm,0.081967213
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Leucrocuta,L,1,27-Oct-98,Leucrocuta,,,2,3.333333333,Warm,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Maccaffertium modestum group,L,2,27-Oct-98,Maccaffertium modestum group,,,4,5.333333333,Cool,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Microtendipes pedellus group,L,1,27-Oct-98,Microtendipes pedellus group,,,4,3.666666667,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Neophylax,L,5,27-Oct-98,Neophylax,,,3,1.333333333,Cold,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Nigronia serricornis,L,2,27-Oct-98,Nigronia serricornis,,,3,4.333333333,Cool,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Ophiogomphus,L,3,27-Oct-98,Ophiogomphus,,,2,4,Cool,0.016393443
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Oulimnius latiusculus,L,2,27-Oct-98,Oulimnius latiusculus,,,3,5,Cold,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Paragnetina media,L,2,27-Oct-98,Paragnetina media,,,3,4.666666667,Cool,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Paraleptophlebia mollis,L,5,27-Oct-98,Paraleptophlebia mollis,,,2,3,Cold,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Parametriocnemus,L,1,27-Oct-98,Parametriocnemus,,,4,5,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Polypedilum flavum,L,54,27-Oct-98,Polypedilum flavum,,,4,6.666666667,Warm,0.295081967
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Psephenus herricki,L,2,27-Oct-98,Psephenus herricki,,,3,4.666666667,Warm,0.010928962
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Psilometriocnemus,L,7,27-Oct-98,Psilometriocnemus,,,4,,,0.038251366
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Psilotreta,L,1,27-Oct-98,Psilotreta,,,2,2,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Rheotanytarsus,L,1,27-Oct-98,Rheotanytarsus,,,4,,,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Rhyacophila carolina,L,8,27-Oct-98,Rhyacophila carolina,,,3,1.333333333,Cold,0.043715847
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Serratella deficiens,L,5,27-Oct-98,Teloganopsis deficiens,,,3,4,Warm,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Sialis,L,1,27-Oct-98,Sialis,,,3,1,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Sphaeriidae,A,1,27-Oct-98,Pisidiidae,,,4,,,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Stenelmis humerosa,A,1,27-Oct-98,Stenelmis humerosa,,,4,5.666666667,Warm,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Thienemannimyia group,L,1,27-Oct-98,Thienemannimyia group,,,4,4.333333333,Cool,0.005464481
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Tubificidae,A,5,27-Oct-98,Tubificidae,,,5,2.666666667,Warm,0.027322404
14137,Blackledge River,1998,2,183,1136,103,1,Riffle,KN2M2,First,,Tvetenia vitracies group,L,1,27-Oct-98,Tvetenia vitracies group,,,4,7,Warm,0.005464481
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Acentrella turbida,L,2,16-Oct-08,Acentrella turbida,,,4,5,Cool,0.008438819
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Acroneuria abnormis,L,8,16-Oct-08,Acroneuria abnormis,,,3,4,Cool,0.033755274
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Antocha,L,3,16-Oct-08,Antocha,,,5,5.666666667,Cool,0.012658228
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Boyeria vinosa,L,1,16-Oct-08,Boyeria vinosa,,,4,6,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ceratopsyche,L,3,16-Oct-08,Ceratopsyche,,,5,,,0.012658228
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ceratopsyche bronta,L,4,16-Oct-08,Ceratopsyche bronta,,,5,6,Warm,0.016877637
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ceratopsyche morosa,L,11,16-Oct-08,Ceratopsyche morosa,,,5,5,Cool,0.046413502
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ceratopsyche sparna,L,7,16-Oct-08,Ceratopsyche sparna,,,5,4.666666667,Cool,0.029535865
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Cheumatopsyche,L,16,16-Oct-08,Cheumatopsyche,,,5,5.666666667,Cool,0.067510549
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Chimarra,L,6,16-Oct-08,Chimarra,,,4,,,0.025316456
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Chimarra aterrima,L,28,16-Oct-08,Chimarra aterrima,,,4,5.333333333,Cool,0.11814346
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Corydalus cornutus,L,1,16-Oct-08,Corydalus cornutus,,,4,5,Warm,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Dolophilodes,L,9,16-Oct-08,Dolophilodes,,,3,3.666666667,Cool,0.037974684
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Dubiraphia,L,1,16-Oct-08,Dubiraphia,,,4,3.333333333,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ectopria,L,1,16-Oct-08,Ectopria,,,3,4,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Epeorus,L,1,16-Oct-08,Epeorus,,,2,2.666666667,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Ephemerella,L,20,16-Oct-08,Eurylophella,,,4,3,Cool,0.084388186
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Eurylophella funeralis,L,1,16-Oct-08,Eurylophella funeralis,,,4,3,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Glossosoma,L,5,16-Oct-08,Glossosoma,,,4,4.333333333,Cool,0.021097046
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Gomphidae,L,6,16-Oct-08,Gomphidae,,,3,,,0.025316456
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Helicopsyche borealis,L,1,16-Oct-08,Helicopsyche borealis,,,2,5.333333333,Cool,0.004219409
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Hemerodromia,L,2,16-Oct-08,Hemerodromia,,,5,6,Cool,0.008438819
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Hydropsyche betteni,L,3,16-Oct-08,Hydropsyche betteni,,,5,5.333333333,Cool,0.012658228
14137,Blackledge River,2008,4,237,14050,08-B-172,1,Riffle,KN2M2,First,,Isonychia,L,7,16-Oct-08,Isonychia,,,3,4.666666667,Warm,0.029535865
