STA_SEQ,tripdate,SampleMonth,SampleYear,repnumber,SubSampleRep,NominalTier,NominalMem,SecondTier,SecondMem
14148,10/16/1989,10,1989,1,First,3,0.5,4,0.5
14465,11/1/1989,11,1989,1,First,4,1,,0
14479,11/2/1989,11,1989,1,First,5,1,,0
14226,11/2/1989,11,1989,1,First,5,1,,0
14314,11/7/1989,11,1989,1,First,2,1,,0
14492,11/7/1989,11,1989,1,First,3,0.794117647,2,0.205882352941177
14383,11/28/1989,11,1989,1,First,5,0.75,6,0.25
14391,11/28/1989,11,1989,1,First,5,1,,0
14391,10/31/1990,10,1990,1,First,5,0.9,6,0.1
14390,10/31/1990,10,1990,1,First,5,1,,0
14392,10/31/1990,10,1990,1,First,6,0.75,5,0.25
14383,10/31/1990,10,1990,1,First,5,1,,0
14389,10/31/1990,10,1990,1,First,5,1,,0
14393,11/2/1990,11,1990,1,First,5,1,,0
14132,11/28/1990,11,1990,1,First,3,1,,0
14413,10/9/1991,10,1991,1,First,5,0.75,6,0.25
14421,10/9/1991,10,1991,1,First,6,1,,0
14414,10/10/1991,10,1991,1,First,5,1,,0
14314,10/22/1991,10,1991,1,First,2,1,,0
14441,10/23/1991,10,1991,1,First,3,1,,0
14458,10/24/1991,10,1991,1,First,5,1,,0
14444,10/24/1991,10,1991,1,First,3,1,,0
14450,10/24/1991,10,1991,1,First,3,1,,0
14465,10/29/1991,10,1991,1,First,4,1,,0
14323,11/5/1991,11,1991,1,First,5,0.75,6,0.25
14334,11/5/1991,11,1991,1,First,5,1,,0
14318,11/5/1991,11,1991,1,First,5,1,,0
14317,11/5/1991,11,1991,1,First,5,1,,0
14339,11/5/1991,11,1991,1,First,5,1,,0
14324,11/6/1991,11,1991,1,First,5,1,,0
14328,11/6/1991,11,1991,1,First,6,0.75,5,0.25
14284,11/6/1991,11,1991,1,First,5,0.5,6,0.5
14331,11/6/1991,11,1991,1,First,5,1,,0
14348,11/7/1991,11,1991,1,First,5,1,,0
14316,11/7/1991,11,1991,1,First,6,0.75,5,0.25
14923,11/8/1991,11,1991,1,First,5,1,,0
14175,11/8/1991,11,1991,1,First,5,0.75,4,0.25
14482,11/8/1991,11,1991,1,First,4,1,,0
14341,11/8/1991,11,1991,1,First,5,1,,0
14392,11/19/1991,11,1991,1,First,5,1,,0
14393,11/19/1991,11,1991,1,First,5,1,,0
14402,11/19/1991,11,1991,1,First,3,1,,0
14388,11/19/1991,11,1991,1,First,3,0.5,4,0.5
14385,11/20/1991,11,1991,1,First,5,1,,0
14383,11/20/1991,11,1991,1,First,5,1,,0
14389,11/20/1991,11,1991,1,First,5,1,,0
14288,10/23/1992,10,1992,1,First,5,1,,0
14413,10/28/1992,10,1992,1,First,5,1,,0
14284,10/28/1992,10,1992,1,First,5,1,,0
14235,10/29/1992,10,1992,1,First,5,1,,0
14414,10/29/1992,10,1992,1,First,5,1,,0
14389,11/10/1992,11,1992,1,First,5,1,,0
14392,11/10/1992,11,1992,1,First,5,1,,0
14393,11/10/1992,11,1992,1,First,5,1,,0
14390,11/10/1992,11,1992,1,First,5,1,,0
14413,10/6/1993,10,1993,1,First,6,1,,0
14420,10/6/1993,10,1993,1,First,6,0.75,5,0.25
14188,10/6/1993,10,1993,1,First,4,0.53271028,3,0.467289719626168
14181,10/7/1993,10,1993,1,First,5,0.75,6,0.25
14182,10/7/1993,10,1993,1,First,5,1,,0
14284,10/7/1993,10,1993,1,First,6,1,,0
14628,10/7/1993,10,1993,1,First,6,1,,0
14288,10/22/1993,10,1993,1,First,5,1,,0
14393,10/25/1993,10,1993,1,First,5,1,,0
14392,10/25/1993,10,1993,1,First,5,1,,0
14391,10/25/1993,10,1993,1,First,5,1,,0
14383,10/25/1993,10,1993,1,First,5,1,,0
14390,10/25/1993,10,1993,1,First,5,1,,0
14388,10/26/1993,10,1993,1,First,5,1,,0
14389,10/26/1993,10,1993,1,First,5,1,,0
14385,10/26/1993,10,1993,1,First,5,1,,0
15670,10/28/1993,10,1993,1,First,6,1,,0
14458,10/28/1993,10,1993,1,First,5,0.75,6,0.25
14463,10/28/1993,10,1993,1,First,5,1,,0
14464,10/28/1993,10,1993,1,First,5,1,,0
14147,11/3/1993,11,1993,1,First,5,1,,0
14442,11/4/1993,11,1993,1,First,3,0.75,2,0.25
14450,11/4/1993,11,1993,1,First,3,0.75,4,0.25
14237,11/8/1993,11,1993,1,First,5,1,,0
14244,11/8/1993,11,1993,1,First,5,1,,0
14235,11/8/1993,11,1993,1,First,5,1,,0
14293,11/9/1993,11,1993,1,First,4,1,,0
14286,11/12/1993,11,1993,1,First,5,0.75,6,0.25
14278,11/16/1993,11,1993,1,First,5,1,,0
14277,11/16/1993,11,1993,1,First,3,1,,0
14420,10/5/1994,10,1994,1,First,5,1,,0
14414,10/5/1994,10,1994,1,First,5,1,,0
14413,10/5/1994,10,1994,1,First,5,0.5,6,0.5
14392,10/6/1994,10,1994,1,First,5,1,,0
14390,10/6/1994,10,1994,1,First,5,1,,0
14388,10/6/1994,10,1994,1,First,5,1,,0
14393,10/6/1994,10,1994,1,First,5,1,,0
14389,10/6/1994,10,1994,1,First,5,1,,0
14492,10/11/1994,10,1994,1,First,3,1,,0
14470,10/11/1994,10,1994,1,First,3,1,,0
14314,10/11/1994,10,1994,1,First,2,1,,0
14441,10/13/1994,10,1994,1,First,3,1,,0
14288,10/17/1994,10,1994,1,First,5,1,,0
14442,10/24/1994,10,1994,1,First,2,1,,0
14450,10/25/1994,10,1994,1,First,3,1,,0
14254,10/25/1994,10,1994,1,First,4,1,,0
15670,10/26/1994,10,1994,1,First,5,1,,0
14458,10/26/1994,10,1994,1,First,5,1,,0
14444,11/3/1994,11,1994,1,First,3,1,,0
14347,11/8/1994,11,1994,1,First,4,0.5,5,0.5
14344,11/9/1994,11,1994,1,First,5,1,,0
14399,11/17/1994,11,1994,1,First,5,1,,0
14400,11/17/1994,11,1994,1,First,5,1,,0
14226,10/11/1995,10,1995,1,First,5,1,,0
14472,10/11/1995,10,1995,1,First,5,1,,0
14188,10/11/1995,10,1995,1,First,4,1,,0
14413,10/11/1995,10,1995,1,First,5,0.75,6,0.25
14314,10/12/1995,10,1995,1,First,3,0.628205128,2,0.371794871794872
14206,10/12/1995,10,1995,1,First,5,1,,0
14410,10/12/1995,10,1995,1,First,4,1,,0
14414,10/13/1995,10,1995,1,First,5,1,,0
14288,10/13/1995,10,1995,1,First,5,1,,0
14442,10/18/1995,10,1995,1,First,2,1,,0
14482,10/18/1995,10,1995,1,First,4,1,,0
14197,10/18/1995,10,1995,1,First,4,0.964788732,3,3.52112676056336E-02
14316,10/19/1995,10,1995,1,First,5,1,,0
14317,10/19/1995,10,1995,1,First,5,1,,0
14628,10/19/1995,10,1995,1,First,6,1,,0
14470,10/26/1995,10,1995,1,First,2,0.5,3,0.5
14441,10/26/1995,10,1995,1,First,2,0.976190476,3,2.38095238095241E-02
14446,10/27/1995,10,1995,1,First,4,1,,0
14235,10/27/1995,10,1995,1,First,5,1,,0
14383,11/27/1995,11,1995,1,First,5,1,,0
14392,11/27/1995,11,1995,1,First,5,1,,0
14390,11/27/1995,11,1995,1,First,5,1,,0
14393,11/27/1995,11,1995,1,First,5,1,,0
14408,11/28/1995,11,1995,1,First,3,1,,0
14406,11/28/1995,11,1995,1,First,3,1,,0
14407,11/28/1995,11,1995,1,First,3,1,,0
14288,10/16/1996,10,1996,1,First,5,1,,0
14392,10/16/1996,10,1996,1,First,5,1,,0
