STA_SEQ,locationNa,locationDe,ylat,xlong,MinYear,MaxYear,CntYear,HydroID
14863,Rocky Brook,adjacent to East Thompson Road,42.0134,-71.802,2002,2015,4,201484795
14207,French River,upstream Langers Pond,42.0248,-71.8843,2004,2014,5,201484922
17565,Long Branch Brook,at Labbey Road crossing,42.01196,-71.871901,2015,2015,1,201485081
16246,Fivemile River,Downstream of Spicer Road,41.9865,-71.8154,2009,2014,2,201485363
14410,Quinebaug River,upstream Route 197,42.022,-71.9528,1990,2018,12,201485225
14305,Muddy Brook,between confluence w/trib (MB2) and dirt road crossing,42.0147,-72.0017,1999,2014,7,201485445
14669,French River,at Main Street (Red Bridge Road),41.9781,-71.9008,2017,2017,1,201485876
14206,French River,adjacent Route 12,41.9548,-71.884,1990,2014,10,201486242
18932,French River,Adj Rte 12 near Plum Rd,41.963157,-71.89015,2015,2015,1,201486242
16088,Lebanon Brook,"upstream Route 198, North of 198/197 intersection",41.9945,-72.0836,2014,2014,2,201486031
16416,Delphi Brook,adjacent  Delphi Road,42.0211,-72.2517,2008,2009,2,201486194
14999,North Running Brook,upstream at dirt farm road below child hill farm property,41.9645,-71.9657,2009,2009,1,201486380
15299,North Running Brook,upstream farm run off/drainage swale child hill farm,41.9645,-71.9666,2004,2004,1,201486380
14998,Still Brook,Upstream Whispering Pine Lane,42.0192,-72.3127,2004,2004,1,201486346
16243,Fivemile River,200 feet South Route 44,41.918,-71.83,2009,2009,1,201486563
17405,Roaring Brook,Below Bradway Rd- below mathews Pond,41.9818,-72.2215,2014,2014,1,201486665
16944,PEAKE BROOK,US of peake brook rd,41.9303,-71.9433,2015,2015,1,201486746
16417,Furnace Brook,adjacent  Route 19,41.9934,-72.2695,2008,2009,4,201486619
14866,Stickney Hill Brook,upstream Brown road,41.9833,-72.2179,2002,2015,4,201486633
16418,Furnace Brook,upstream Hydeville Road,41.9937,-72.2767,2008,2009,2,201486669
14276,Little River,downstream 150 meters Peake Brook Road,41.928,-71.9315,1999,1999,1,201486680
17852,Shady Oak School House Brook,US KELLY RD crossing,41.89866,-71.80928,2015,2015,1,201486965
15151,Little River,behind #145 Pomfret Street (Medical offices) US of Route 44 crossing,41.912,-71.9163,2009,2014,3,201486818
14214,Furnace Brook,upstream Orcuttville Road,41.9841,-72.2947,1999,2010,4,201486892
14609,Quinebaug River,adjacent Town Park at Kennedy Drive,41.9081,-71.9096,1999,2014,7,201486936
14606,Middle River,downstream Route 190,41.9659,-72.3278,1999,2014,4,201487213
14215,Furnace Brook,downstream Glenville Pond,41.9679,-72.2979,2008,2009,2,201487329
14656,Furnace Brook,Downstream of Dam Upstream of Concrete Channel,41.9554,-72.3013,2000,2009,3,201487329
16419,Furnace Brook,downstream Warren Pond,41.9599,-72.2994,2008,2009,2,201487329
16106,Branch Brook,Upstream Westford Road at mouth,41.9108,-72.1245,2009,2010,3,201487443
16288,Branch Brook,adjacent Kozy Corner Road upstream of mouth 3/4 mile,41.9199,-72.1256,2009,2010,2,201487443
17295,Bigelow Brook,DS Eastford Road,41.9182,-72.1398,2015,2015,2,201487396
19024,Crystal Lake Brook,At Williamson Rd,41.966806,-72.362173,2016,2016,1,201487410
14658,Middle River,Upstream Intersection of West Street and ?,41.9567,-72.3141,2000,2000,1,201487364
15051,Durkee Brook,downstream Holmes Road,41.8829,-71.9286,2015,2015,1,201487564
14708,Middle River,downstream of dam at upstream entrance of American Sleeve Bearing,41.9519,-72.3084,2000,2000,1,201487365
14583,Middle River,downstream Route 32 bridge,41.9525,-72.3039,1999,2014,12,201487365
14580,Willimantic River,adjacent to park upstream Stafford POTW,41.9505,-72.3037,1999,2019,13,201487650
14581,Willimantic River,downstream Stafford POTW,41.9423,-72.3058,1999,2019,21,201487650
17816,INDIAN HUT BROOK,UPSTREAM OF SCHOOL HILL/EAST HILL RD (At Old Colony Road crossing),41.90276,-72.06398,2015,2015,1,201487488
15516,Valley Brook,dowstream Route 20 on MDC property,42.0315,-72.9318,2011,2011,2,201487873
15221,Scantic River,downstream 100 meters South Maple Street,41.982,-72.5407,2008,2012,3,201487608
15003,Wappoquia Brook,at old bridge off RTE 169 on Wappaquia Brook Farm,41.8751,-71.9658,2004,2014,2,201487666
19655,Bradley Brook,Behind #133 Wells Road,41.991852,-72.810504,2017,2017,1,201488193
14303,Muddy Brook,downstream Route 168 (Main Street),41.9838,-72.6582,1998,2008,5,201487964
15520,Bonemill Brook,upstream end of driveable road above sweet heart lake,41.925,-72.3162,2012,2014,2,201487754
14599,Mashamoquet Brook,downstream Wrights Crossing Road near Mill Road,41.8499,-71.9359,1999,2014,5,201487804
19697,Mashamoquet Brook,150m US State Hwy 101 (Hartford Providence Tpke),41.85481,-71.95045,2017,2017,1,201487773
14593,Whetstone Brook,downstream Route 12,41.831633,-71.878097,1999,2014,3,201487907
14589,Still River,adjacent General Lyon Road; US Pilfershire Rd,41.8716,-72.0877,1999,2014,4,201487997
15240,Hubbard Brook,upstream Route 20 on MDC property,42.0356,-72.9384,2011,2018,9,201487872
16387,Hurricane Brook,adjacent to Hurricane Brook road,42.033,-72.9207,2011,2014,3,201487966
14997,East Branch Salmon Brook,"mmediately above small pond at Valley Workship Center (Formerly Woodhaven Riding Facility), #160 rte 189",42.0135,-72.8435,2004,2012,4,201487925
14204,Fivemile River,downstream Route 101,41.846,-71.8902,1990,1990,1,201487876
14205,Fivemile River,downstream 500 meters Route 101,41.8451,-71.8912,1990,1999,2,201487876
15776,East Branch Mount Hope,upstream confluence with Mount Hope at James Road,41.881,-72.16,2014,2014,1,201487985
16873,MOUNT HOPE RIVER,US of rte 89,41.8814,-72.1639,2018,2018,1,201487984
19644,Fenton River,DS of Liska Road,41.893756,-72.232191,2017,2017,1,201488042
14584,Roaring Brook,at Route 32,41.904,-72.2891,1999,2017,12,201488020
14590,Bigelow Brook,downstream Route 198,41.8671,-72.0921,1999,2009,3,201487996
16501,BELDEN BROOK,"Parallel to Lost Acres Rd, Near Humprey's Rd",42.0122,-72.8775,2012,2012,1,201488089
16109,Gardner Brook,Upstream Route 89 and adjacent Slade Rd,41.8642,-72.1598,2007,2007,1,201488230
16502,BELDEN BROOK,"Adjacent Lost Acres Road, Across from Harvey Road",42.0056,-72.8508,2016,2016,1,201488090
16308,Stony Brook,Route 75,41.9723,-72.6574,2008,2008,1,201488077
20123,Labonte Brook,Adjacent Babcock Road,41.90359,-72.3077,2019,2019,1,201488169
15046,Charters Brook,downstream Browns Bridge Road,41.9062,-72.4035,2003,2012,3,201488403
19931,Charters Brook,Adjacent Shenipsit Lake Road,41.903266,-72.40556,2018,2018,1,201488403
16310,Broad Brook,Broad Brook road,41.9192,-72.498,2008,2008,2,201488389
14465,Stony Brook,upstream South Grand Street,41.9608,-72.711,1989,2008,6,201488416
16758,HOWELL'S BROOK,DS of JCT of Mill St and Pond Hill Rd.,42.0078,-73.0042,2012,2012,1,201488481
14199,Fenton River,adjacent Daleville Road,41.863,-72.2402,2009,2015,2,201488607
14840,Mountain Brook,"Within Granby LT Schlicht Preserve, adjacent old logging road",41.9741,-72.8375,2002,2012,2,201488932
16108,Knowlton Brook,Between Cushman Rd and confluence with Squaw Hollow Brook,41.8492,-72.1783,2007,2007,1,201488530
14147,Broad Brook,upstream USGS gage at Route 191,41.9147,-72.549,1993,2014,9,201488625
15171,East Branch Salmon Brook,Downstream Route 20,41.955,-72.7794,2008,2008,2,201488786
15678,Sandy Brook,"adjacent Sandy Brook Road, Downstream of Campbell Road",42.0109,-73.0888,2008,2012,2,201488629
16304,Quinebaug River,at end of Edwardson Street,41.7809,-71.901,2009,2014,6,201488745
