staSeq,locationName,Sample_Year,YearGrp,ChemParameter,value
14441,Salmon River,2003,3,Chloride,19
14442,Sandy Brook,2003,3,Chloride,6.1
14314,Natchaug River,2003,3,Chloride,13.3
14720,Green Fall River,2003,3,Chloride,5.1
14584,Roaring Brook,2003,3,Chloride,15
14442,Sandy Brook,2008,4,Chloride,7
15312,Beaver Brook,2009,4,Chloride,6.5
15312,Beaver Brook,2008,4,Chloride,3.2
15312,Beaver Brook,2007,4,Chloride,4.9
14470,Tankerhoosen River,2010,4,Chloride,57.1
14470,Tankerhoosen River,2008,4,Chloride,42.6
15312,Beaver Brook,2010,4,Chloride,5.9
14442,Sandy Brook,2009,4,Chloride,12.8
14442,Sandy Brook,2007,4,Chloride,17.8
14137,Blackledge River,2008,4,Chloride,16.5
14484,West Branch Salmon Brook,2008,4,Chloride,11
15020,Eightmile River,2008,4,Chloride,8.9
14441,Salmon River,2008,4,Chloride,19.4
14470,Tankerhoosen River,2008,4,Chloride,42.2
16044,Chatfield Hollow Brook,2008,4,Chloride,8
15531,Leadmine Brook,2006,4,Chloride,13.88
14731,Trading Cove Brook,2010,4,Chloride,25.5
15796,PENDLETON HILL BROOK,2010,4,Chloride,7.2
14720,Green Fall River,2009,4,Chloride,6.8
14720,Green Fall River,2008,4,Chloride,3.5
14584,Roaring Brook,2007,4,Chloride,42.3
14842,Indian Meadow Brook,2008,4,Chloride,11.7
14441,Salmon River,2007,4,Chloride,20.3
14590,Bigelow Brook,2007,4,Chloride,16.2
16082,"Bunnell Brook (""Burlington Brook"")",2008,4,Chloride,17.8
16089,Morgan Brook,2008,4,Chloride,9.6
14863,Rocky Brook,2009,4,Chloride,5.2
16106,Branch Brook,2009,4,Chloride,4.6
16106,Branch Brook,2010,4,Chloride,9
14720,Green Fall River,2007,4,Chloride,6.1
14247,Hollenbeck River,2006,4,Chloride,6.78
14441,Salmon River,2006,4,Chloride,19.12
16288,Branch Brook,2009,4,Chloride,4.5
14442,Sandy Brook,2006,4,Chloride,11.12
16288,Branch Brook,2010,4,Chloride,5.3
16312,Mad River,2008,4,Chloride,5.1
15176,Natchaug River,2007,4,Chloride,16.4
16313,Mad River,2008,4,Chloride,4.9
14314,Natchaug River,2007,4,Chloride,16.9
16324,Dickinson Creek,2008,4,Chloride,18.5
14314,Natchaug River,2006,4,Chloride,13.69
16331,Sumner Brook,2008,4,Chloride,2.9
15020,Eightmile River,2010,4,Chloride,15.4
14221,Hammonasset River,2007,4,Chloride,8
15046,Charters Brook,2008,4,Chloride,14.8
16410,Roaring Brook No 2,2008,4,Chloride,8.8
14187,Eightmile River,2008,4,Chloride,7.9
14186,Eightmile Brook,2006,4,Chloride,17.39
15035,Spruce Brook,2006,4,Chloride,8.49
14247,Hollenbeck River,2008,4,Chloride,7.9
16139,Brown Brook,2009,4,Chloride,1.1
16139,Brown Brook,2007,4,Chloride,1.5
16139,Brown Brook,2008,4,Chloride,0.7
16143,Little River,2009,4,Chloride,22.3
16143,Little River,2008,4,Chloride,13.5
16143,Little River,2007,4,Chloride,16.6
14314,Natchaug River,2010,4,Chloride,17.7
15176,Natchaug River,2008,4,Chloride,10.7
14396,Pine Brook,2008,4,Chloride,17.4
15176,Natchaug River,2010,4,Chloride,17.3
16139,Brown Brook,2010,4,Chloride,2.1
14377,Pattaconk Brook,2008,4,Chloride,9.6
14314,Natchaug River,2008,4,Chloride,9.9
14840,Mountain Brook,2012,5,Chloride,4.4
14731,Trading Cove Brook,2014,5,Chloride,23.3
14720,Green Fall River,2015,5,Chloride,6.3
15015,Seth Williams Brook,2013,5,Chloride,29.7
15007,Sawmill Brook,2014,5,Chloride,12.9
14842,Indian Meadow Brook,2012,5,Chloride,17.9
14863,Rocky Brook,2015,5,Chloride,9.2
14842,Indian Meadow Brook,2015,5,Chloride,34.4
14997,East Branch Salmon Brook,2012,5,Chloride,14.2
14843,Sandy Brook,2012,5,Chloride,14.5
14888,Ekonk Brook,2014,5,Chloride,17.4
14866,Stickney Hill Brook,2015,5,Chloride,10.9
14866,Stickney Hill Brook,2012,5,Chloride,8.8
14866,Stickney Hill Brook,2014,5,Chloride,10.9
14842,Indian Meadow Brook,2014,5,Chloride,26.1
14441,Salmon River,2012,5,Chloride,24.3
14484,West Branch Salmon Brook,2014,5,Chloride,24
14442,Sandy Brook,2015,5,Chloride,29.8
14442,Sandy Brook,2013,5,Chloride,17
14442,Sandy Brook,2012,5,Chloride,14.2
14441,Salmon River,2015,5,Chloride,40.5
14470,Tankerhoosen River,2013,5,Chloride,61.4
14441,Salmon River,2013,5,Chloride,28.5
14470,Tankerhoosen River,2014,5,Chloride,64
14396,Pine Brook,2012,5,Chloride,22.4
14314,Natchaug River,2014,5,Chloride,23
14247,Hollenbeck River,2013,5,Chloride,4.9
14221,Hammonasset River,2013,5,Chloride,9.8
14187,Eightmile River,2012,5,Chloride,10.7
14137,Blackledge River,2012,5,Chloride,20.3
14441,Salmon River,2014,5,Chloride,40.8
14592,Fenton River,2014,5,Chloride,33.7
14720,Green Fall River,2013,5,Chloride,6.8
14720,Green Fall River,2012,5,Chloride,4.3
14606,Middle River,2014,5,Chloride,27.9
14602,Merrick Brook,2014,5,Chloride,13.4
14602,Merrick Brook,2012,5,Chloride,7.5
14470,Tankerhoosen River,2012,5,Chloride,55
14594,Moosup River,2014,5,Chloride,11.6
14720,Green Fall River,2014,5,Chloride,7.5
14584,Roaring Brook,2014,5,Chloride,56.1
14584,Roaring Brook,2012,5,Chloride,20.8
15020,Eightmile River,2012,5,Chloride,11.7
14484,West Branch Salmon Brook,2012,5,Chloride,17.1
15240,Hubbard Brook,2015,5,Chloride,2.7
14470,Tankerhoosen River,2015,5,Chloride,63.5
14595,Quanduck Brook,2014,5,Chloride,11.2
16119,Day Pond Brook,2014,5,Chloride,7.8
16127,Jakes Brook,2012,5,Chloride,4.8
16124,Flat Brook,2015,5,Chloride,3.8
16124,Flat Brook,2014,5,Chloride,3.8
16124,Flat Brook,2013,5,Chloride,3.4
16124,Flat Brook,2012,5,Chloride,3.6
16122,Early Brook,2015,5,Chloride,13
16121,Flat Brook,2014,5,Chloride,33.6
16112,Hemlock Valley Brook,2014,5,Chloride,14.7
16119,Day Pond Brook,2015,5,Chloride,8.5
16127,Jakes Brook,2015,5,Chloride,3.6
16119,Day Pond Brook,2013,5,Chloride,6.1
16119,Day Pond Brook,2012,5,Chloride,25.1
16114,Rugg Brook,2015,5,Chloride,9.5
16114,Rugg Brook,2014,5,Chloride,7.2
15240,Hubbard Brook,2013,5,Chloride,6.4
16114,Rugg Brook,2013,5,Chloride,9
15020,Eightmile River,2014,5,Chloride,14.4
16112,Hemlock Valley Brook,2015,5,Chloride,15.8
16121,Flat Brook,2012,5,Chloride,14.7
16261,Aspetuck River,2013,5,Chloride,16.1
16930,Oil Mill Brook,2013,5,Chloride,19.1
16930,Oil Mill Brook,2012,5,Chloride,12.7
16410,Roaring Brook No 2,2012,5,Chloride,11.9
16387,Hurricane Brook,2014,5,Chloride,4.9
16387,Hurricane Brook,2012,5,Chloride,19.6
16331,Sumner Brook,2012,5,Chloride,4.2
16324,Dickinson Creek,2012,5,Chloride,25.7
16313,Mad River,2012,5,Chloride,11
16127,Jakes Brook,2013,5,Chloride,4.2
16303,Moosup River,2014,5,Chloride,10.7
16127,Jakes Brook,2014,5,Chloride,3
16143,Little River,2014,5,Chloride,28
16143,Little River,2013,5,Chloride,25.3
16139,Brown Brook,2015,5,Chloride,2.7
16139,Brown Brook,2014,5,Chloride,1.1
16139,Brown Brook,2013,5,Chloride,1.1
16139,Brown Brook,2012,5,Chloride,1.1
16135,Sargent River,2013,5,Chloride,29.9
16114,Rugg Brook,2012,5,Chloride,8.3
16312,Mad River,2012,5,Chloride,10.2
15312,Beaver Brook,2013,5,Chloride,5.7
15315,Burnham Brook,2012,5,Chloride,7.4
15520,Bonemill Brook,2014,5,Chloride,10.8
15520,Bonemill Brook,2012,5,Chloride,10
15240,Hubbard Brook,2014,5,Chloride,6.7
16930,Oil Mill Brook,2014,5,Chloride,20.6
16112,Hemlock Valley Brook,2013,5,Chloride,16.5
15796,PENDLETON HILL BROOK,2012,5,Chloride,5.2
15499,West Branch Salmon Brook,2014,5,Chloride,26.8
15796,PENDLETON HILL BROOK,2013,5,Chloride,10.2
15312,Beaver Brook,2014,5,Chloride,7.3
15499,West Branch Salmon Brook,2013,5,Chloride,18.5
15499,West Branch Salmon Brook,2012,5,Chloride,17.4
15315,Burnham Brook,2015,5,Chloride,12.1
15315,Burnham Brook,2014,5,Chloride,5.6
15312,Beaver Brook,2015,5,Chloride,7
15315,Burnham Brook,2013,5,Chloride,6.6
15312,Beaver Brook,2012,5,Chloride,5.4
15994,Eightmile Brook,2012,5,Chloride,18.9
16112,Hemlock Valley Brook,2012,5,Chloride,12.4
16089,Morgan Brook,2012,5,Chloride,18.9
16082,"Bunnell Brook (""Burlington Brook"")",2012,5,Chloride,38.9
15046,Charters Brook,2012,5,Chloride,25.4
16080,West Branch Salmon Brook,2014,5,Chloride,13.5
16080,West Branch Salmon Brook,2012,5,Chloride,18.3
15720,Blackwell Brook,2014,5,Chloride,12
15994,Eightmile Brook,2013,5,Chloride,26.2
15499,West Branch Salmon Brook,2015,5,Chloride,26.7
