DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG,SensitiveEPT,BCG_Attribute,Tol,TolSource,common_name,Notes,AddedBy,AddedDate,UpdatedSynonym,CTTempOptimaAvg,RegionalTempOptimaAvg,RegionalTempOptimaClass
1179,Truncatelloidea,,Mollusca,,,,Gastropoda,Caenogastropoda,,,Littoridinomorpha,,,Truncatelloidea,,,,,,,,,,,,,,,C.Bellucci,25-Oct-18,,,,
170,Aeolosoma,,Annelida,,,,Polychaeta,,,,Na,,,,Aeolosomatidae,,,,Aeolosoma,,,C-G,0,,8,CT DEP new,,,G.Hoffman,22-Aug-11,,,9.333333333,Warm
171,Aeolosomatidae,,Annelida,,,,Polychaeta,,,,Na,,,,Aeolosomatidae,,,,Na,,,C-G,0,,8,CT DEP new,,,G.Hoffman,29-Aug-13,,,9.333333333,Warm
172,Aeshna,,,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Aeshna,,Aeschna,PRD,0,,5,Hilsenhoff 1987,,,G.Hoffman,30-Jul-12,1,,6,Cool
878,Anax junius,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Anax,junius,,PRD,0,,8,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,,
880,Basiaeschna janata,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Basiaeschna,janata,,PRD,0,,6,,,add by EcoAnalyst order # 987,G.Hoffman,31-Aug-07,,,,
879,Basiaeschna,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Basiaeschna,,,PRD,0,,6,Inferred from Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,,,,
882,Boyeria grafiana,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Boyeria,grafiana,,PRD,0,4,2,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,6,5.666666667,Cool
883,Boyeria vinosa,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Boyeria,vinosa,,PRD,0,4,2,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,6,5.666666667,Cool
881,Boyeria,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Boyeria,,,PRD,0,4,2,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,6,5.666666667,Cool
877,Aeshnidae,,Arthropoda,,,,Insecta,,,,Odonata,,,,Aeshnidae,,,,Na,,,PRD,0,,3,Hilsenhoff 1988,,,M.Beauchene,13-Dec-04,,,,
