STA_SEQ,Station_Na,YLat,XLong,MinOfNomin,CountOfNom,HydroID,ConteID,Statewide_CFPct_AllYears_NextDown,Statewide_CFPct_AllYears_SqMi,Statewide_CFPct_AllYears_CFPct85,Statewide_CFPct_AllYears_CFPct90,Statewide_CFPct_AllYears_CFPct95,Statewide_CFPct_AllYears_CFPct02,Statewide_CFPct_AllYears_CFPct06,Statewide_CFPct_AllYears_CFPct10,Statewide_CFPct_AllYears_CFPct15
14126,Aspetuck River,41.1864,-73.3429,4,1,102001531,201496904,7052383830,21.929872,0.407022766,0.38782219,0.360346068,0.34729491,0.335110559,0.333867591,0.333066204
14128,Bantam River,41.6884,-73.2668,3,2,103010096,201493421,17932835440,51.009737,0.338086599,0.322392384,0.31948136,0.313982759,0.313722595,0.299505652,0.311310805
14129,Beacon Hill Brook,41.4684,-73.0501,4,4,103015193,201495297,3425419489,10.013329,0.459044002,0.423426974,0.414540634,0.379138598,0.373118819,0.375340404,0.374516268
14132,Blackberry River,42.0236,-73.341,3,3,103003368,201489066,16723579587,45.612144,0.560889497,0.549078814,0.534736147,0.530623639,0.526220188,0.516477554,0.52669985
14137,Blackledge River,41.6084,-72.4263,3,1,106002616,201492526,7858179526,23.155125,0.467235585,0.443353416,0.405176019,0.402697973,0.394334567,0.388402744,0.395728468
14138,Bladens River (Bladdens River),41.3972,-73.0718,5,1,103016676,201495868,99336178737,271.737686,0.359637049,0.336459271,0.322624945,0.31244721,0.30634849,0.301226621,0.30331497
14139,Bladens River (Bladdens River),41.3958,-73.0608,3,1,103016722,201495872,3425429987,10.789277,0.340269237,0.307329234,0.281934519,0.252584344,0.232175503,0.230845937,0.227023434
14145,Branch Brook,41.6434,-73.081,5,1,103011292,201493559,6649281036,22.475434,0.362416214,0.341589531,0.339786147,0.3324609,0.333801468,0.324912225,0.331694861
14146,Branford River,41.3072,-72.7648,5,1,104001553,201496101,3425429996,12.116003,0.47076586,0.448917967,0.397850736,0.336954913,0.427099677,0.384262412,0.419313775
14147,Broad Brook,41.9147,-72.549,5,6,106003766,201488625,5037210724,15.849458,0.205100932,0.19364986,0.187743279,0.171811351,0.165180592,0.163483299,0.163460668
14148,Bunnell Brook,41.7846,-72.9657,3,2,105001294,201491607,1813424649,4.095541,0.422504378,0.406567426,0.388704028,0.333362522,0.313134851,0.314623468,0.311208406
14150,Byram River,41.0276,-73.6621,5,3,102000175,201497248,10276356757,25.978499,0.173705873,0.154756643,0.106347716,0.117479697,0.109634827,0.109763235,0.10857135
14153,Coginchaug River,41.5547,-72.6737,4,4,106002257,201493772,13903122844,37.266084,0.296166722,0.281017676,0.268236271,0.248717679,0.244944854,0.247399115,0.24643666
14156,Comstock Brook,41.1961,-73.4354,5,1,102001655,201496901,2216465591,7.465172,0.21775472,0.202046404,0.180525532,0.190997742,0.18446462,0.185761637,0.185569486
14158,Coppermine Brook,41.6777,-72.9077,4,2,105000017,201492736,4634324567,16.829037,0.398106892,0.355789115,0.342528834,0.324748971,0.316775748,0.31481442,0.313535293
14172,Deep Brook,41.4131,-73.2823,4,2,103016244,201496121,2619449859,5.444505,0.122857896,0.106248352,0.093197996,0.090363828,0.085025046,0.085222779,0.085881888
14174,East Branch Eightmile River,41.4309,-72.3375,3,3,106001093,201494447,15112042653,44.445273,0.574032222,0.556646111,0.534530075,0.517168179,0.508216834,0.508676912,0.509387208
14176,East Branch Naugatuck River,41.8122,-73.1221,4,1,103004350,201491547,3425347012,10.730901,0.477259816,0.454569758,0.442472849,0.432982456,0.425062657,0.42235589,0.422556391
14179,East Branch Naugatuck River,41.797345,-73.115842,5,2,103006978,201491670,5440262874,14.099489,0.388688266,0.367885662,0.358145567,0.35051625,0.344031331,0.341513656,0.341666243
14182,East Aspetuck River,41.6817,-73.354,5,1,103010254,201493735,4835841043,14.001148,0.478221881,0.454496541,0.443453754,0.439072508,0.433025878,0.423366641,0.431411735
