HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201495902,201495914,0.000347,0.968716563,0,0,0,0,0,0,0
201493726,201493846,0.000347,0.968717063,0,0,0,0,0,0,0
201493719,201493765,0.000348,0.968720989,0,0,0,0,0,0,0
201489716,201489708,0.000347,0.968725882,0,0,0,0,0,0,0
201491798,201491792,0.000347,0.968728969,0.369596238,0.369596238,0.369596238,0.369596238,0.369596238,0.369596238,0.369596238
201490830,201490923,0.000347,0.968739943,0,0,0,0,0,0,0
201488841,201488979,0.000347,0.9687634,0,0,0,0,0,0,0
201488491,201488622,0.000347,0.968777962,0,0,0,0,0,0,0
201486142,201486459,0.000347,0.968778431,0,0,0,0,0,0,0
201488244,201488378,0.000348,0.968781699,0,0,0,0,0,0,0
201483326,201483394,0.000347,0.968832573,1,0.987296941,0.987296941,0.146893888,0.987296941,0.987296941,0.987296941
201494470,201494467,0.000695,1.937431769,0,0,0,0,0,0,0
201484193,201484339,0.000695,2,0,0,0,0,0,0,0
201485684,201485758,0.001042,2,0,0,0,0,0,0,0
201487612,201487665,0.000695,2,1,1,1,0.5,0.5,0.5,0.5
201487792,201487791,0.000695,2,0,0,0,0,0,0,0
201488303,201488510,0.000695,2,1,1,1,1,0,0,0
201488704,201488802,0.000695,2,0.5,0,0.5,0.5,0.5,0.5,0.5
201489315,201489307,0.000695,2,0,0,0,0,0,0,0
201489451,201489676,0.000695,2,0,0,0,0,0,0,0
201489769,201489987,0.000695,2,0,0,0,0,0,0,0
201489917,201489912,0.000695,2,0,0,0,0,0,0,0
201490641,201490635,0.001042,2,0,0,0,0,0,0,0
201491168,201491265,0.000348,2,0,0,0,0,0,0,0
201491500,201491492,0.000695,2,0.5,1,1,1,1,1,1
201492674,201492676,0.000695,2,0,0,0,0,0,0,0
201493913,201493911,0.000695,2,0,0,0,0,0,0,0
201494001,201494148,0.000695,2,0,0,0,0,0,0,0
201495758,201495865,0.000695,2,0,0,0,0,0,0,0
201496054,201496209,0.000695,2,0,0,0,0,0,0,0
201497018,201497030,0.000695,2,0,0,0,0,0,0,0
201481537,201481667,0.001042,3,0,0,0,0,0,0,0
201485887,201486031,0.001042,3,0,0,0,0,0,0,0
201488214,201488295,0.00139,3,0,0,0,0,0,0,0.014537316
201488867,201488888,0.00139,3,0,0,0,0,0,0,0
201488946,201489221,0.001042,3,0,0,0,0,0,0,0
201489193,201489429,0.001042,3,0.333333333,0.333333333,0.333333333,0,0,0,0
201489695,201489700,0.001042,3,1,1,1,1,1,1,1
201490222,201490315,0.001042,3,0,0,0,0,0,0,0
201490986,201490975,0.001042,3,0,0,0,0,0,0,0
201492463,201492586,0.00139,3,0,0,0,0,0,0,0
201493582,201493717,0.001042,3,0,0,0,0,0,0,0
201494430,201494490,0.001042,3,0,0,0,0,0,0,0
201494876,201494973,0.00139,3,0,0,0,0,0,0,0.020866196
201495499,201495507,0.001042,3,0,0,0,0,0,0,0
201496362,201496418,0.001042,3,0,0,0,0,0,0,0
201496369,201496373,0.001042,3,0,0,0,0,0,0,0
201483741,201483921,0.00139,4,0,0,0,0,0,0,0
201484382,201484383,0.00139,4,0,0,0,0,0,0,0
201486022,201486017,0.00139,4,0,0,0,0,0,0,0
201487555,201487633,0.00139,4,0,0,0,0,0,0,0
201488681,201488794,0.001737,4,0,0,0,0,0,0,0
201489636,201489635,0.00139,4,0,0,0,0,0,0,0
201489956,201490127,0.00139,4,0.75,0.5,0.5,0.5,0.25,0.5,0.5
201490518,201490514,0.00139,4,0,0,0,0,0,0,0
201490989,201491116,0.00139,4,0,0,0,0,0,0,0
201492676,201492758,0.00139,4,0,0,0,0,0,0,0.023711583
201496125,201496261,0.001737,4,0,0,0,0,0,0,0
201496179,201496199,0.001042,4,0,0,0,0,0,0,0
201496205,201496202,0.001737,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
201485633,201485625,0.002085,5,0,0,0.2,0.4,0.4,0.4,0.4
201488220,201488286,0.001737,5,0,0,0,0,0,0,0
201488631,201488758,0.001737,5,0,0,0,0,0,0,0
201488690,201488691,0.001737,5,0,0,0,0,0,0,0
201488832,201488831,1.156801,5,0,0,0,0,0,0,0
201489066,201489065,0.001738,5,0,0,0,0,0,0,0
201489091,201489459,0.00139,5,0,0,0,0,0,0,0
201489463,201489647,0.002085,5,0,0,0,0,0,0,0
201489700,201489795,0.001737,5,1,1,1,1,1,1,1
201490376,201490511,0.002085,5,0,0,0,0,0,0,0
201490604,201490667,0.001737,5,0,0,0,0,0,0,0
201491855,201491850,0.001737,5,0,0,0,0,0,0,0
201493335,201493475,0.001737,5,0.8,0.8,0.6,0.6,0.6,0.6,0.6
201493917,201494192,0.001737,5,0,0.2,0.2,0.2,0.2,0.2,0.114444736
201493983,201494132,0.001737,5,0,0,0,0,0,0,0
201494159,201494239,0.001737,5,0,0,0,0,0,0,0
201494296,201494411,0.001738,5,0,0,0,0,0,0,0
201484658,201484460,0.922244,6,0,0,0,0,0,0,0
201486558,201486691,0.002085,6,0,0,0,0,0,0,0
201490700,201490960,1.704796,6,0,0,0,0,0,0,0
201492006,201492072,0.002432,6,0,0,0,0,0,0,0
201494821,201494814,0.002085,6,0,0,0,0,0,0,0
201495482,201495610,0.002085,6,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667
201495574,201495799,0.002085,6,0,0,0,0,0,0,0
201496497,201496499,0.002085,6,0,0,0,0,0,0,0
201484942,201485225,0.002432,7,0,0,0,0,0,0,0
201487636,201487977,0.00278,7,1,1,1,1,1,1,1
201488045,201488128,0.002432,7,0,0,0,0,0,0,0
201488695,201488738,0.002432,7,0,0,0,0,0,0,0
201488906,201488920,0.00278,7,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571
201489689,201489674,0.002432,7,0.285714286,0.285714286,0.285714286,0.428571429,0.428571429,0.428571429,0.428571429
201490106,201490112,0.002432,7,0,0,0,0,0,0,0
201491037,201491056,0.002432,7,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429
201492362,201492487,0.00278,7,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
201492454,201492452,0.002432,7,0,0,0,0,0,0,0
201492900,201493006,0.002432,7,0,0,0,0,0,0,0
201493076,201493077,0.00278,7,0,0,0,0,0,0,0.034510847
201494002,201494001,0.002432,7,0,0,0,0,0,0,0
201496664,201496713,0.002432,7,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571
201496674,201496693,0.00278,7,0,0,0,0,0,0,0
201496882,201496907,0.002432,7,0,0,0,0,0,0,0
201485513,201485688,0.002432,8,1,1,1,1,1,1,1
201487811,201488084,0.003127,8,0.625,0.625,0.625,0.625,0.5,0.625,0.625
