DrainID,Strahler,HydroID,StrMi,SqMi,0,1,2,3,4,5,6,Sum,Str_Drain
102000145,1,102000145,0.09,0.02,42,24,16,1,0,0,0,83,14444
102000146,2,102000146,0.37,0.11,66,21,0,0,0,0,0,87,14444
102002632,1,102002632,0.48,0.13,71,0,115,68,23,103,0,380,14444
102002667,1,102002667,0.32,0.06,0,0,6,0,0,168,0,174,14444
102002668,1,102002668,0.14,0.25,118,4,283,37,188,73,0,703,14444
102002669,2,102002669,0.86,0.192679,0,0,0,0,0,8,0,8,14444
102002675,2,102002675,1.49,0.592679,7,1,45,25,0,340,0,418,14444
102002678,1,102002678,0.75,0.34,141,21,230,107,139,329,0,967,14444
102002689,1,102002689,2.22,0.62,434,31,616,82,314,267,0,1744,14444
102002697,4,102002697,53.42,20.332628,170,50,458,13,116,399,0,1206,14444
102002703,1,102002703,0.37,0.12,60,0,54,8,166,75,0,363,14444
102002708,1,102002708,0.93,0.67,600,63,795,78,273,63,0,1872,14444
102002710,2,102002710,2.63,1.292679,37,3,56,0,1,0,0,97,14444
102002723,1,102002723,0.21,0.05,34,1,70,4,11,23,0,143,14444
102002725,2,102002725,3.36,1.422679,41,1,127,2,72,3,0,246,14444
102002735,4,102002735,49.36,18.952628,31,1,36,2,0,27,0,97,14444
102002737,2,102002737,3.46,0.95,34,17,81,14,13,0,0,159,14444
102002739,2,102002739,1.61,0.59,61,1,103,12,0,203,0,380,14444
102002744,4,102002744,45.85,17.499949,81,0,125,151,141,0,0,498,14444
102002752,1,102002752,0.35,0.14,28,0,55,49,274,0,0,406,14444
102002753,2,102002753,1.9,0.47,61,0,138,42,11,0,0,252,14444
102002754,1,102002754,1.18,0.43,495,102,477,93,43,0,0,1210,14444
102002757,3,102002757,2.99,1.31,391,91,468,23,93,37,0,1103,14444
102002760,2,102002760,0.62,0.33,24,47,54,5,0,0,0,130,14444
102002767,4,102002767,45.09,17.179949,5,0,3,0,6,0,0,14,14444
102002772,4,102002772,44.51,17.055688,21,0,66,0,251,0,0,338,14444
102002773,1,102002773,0.06,0.01,4,3,17,0,10,0,0,34,14444
102002778,1,102002778,0.53,0.12,55,0,81,4,198,0,0,338,14444
102002782,4,102002782,39.64,15.145688,745,36,943,84,980,0,0,2788,14444
102002784,2,102002784,4.56,1.8,11,0,41,0,206,0,0,258,14444
102002791,2,102002791,1.2,0.35,200,47,113,21,23,0,0,404,14444
102002792,1,102002792,0.07,0.03,17,0,46,16,13,0,0,92,14444
102002798,3,102002798,5.19,2.31,402,31,548,119,284,137,0,1521,14444
102002799,2,102002799,1.02,0.46,119,5,171,150,152,0,0,597,14444
102002809,1,102002809,1.39,0.69,752,112,680,54,342,0,0,1940,14444
