SID,Year,SummerTemp,TempCatS
14129,2006,17.98234522,Cold
14129,2016,18.13786005,Cold
14129,2017,17.40155435,Cold
14129,2018,18.60829031,Cool
14209,2014,16.64809957,Cold
14209,2015,17.02417358,Cold
14209,2016,17.43282971,Cold
14247,2013,18.72820018,Cool
14247,2014,18.20808197,Cold
14247,2015,19.10329076,Cool
14247,2016,20.33583822,Cool
14355,2014,18.26870063,Cold
14355,2015,18.35363723,Cool
14355,2016,19.26880933,Cool
14355,2017,18.4214837,Cool
14355,2018,19.31092029,Cool
14390,2013,18.23828578,Cold
14390,2014,18.04213056,Cold
14390,2015,18.52610339,Cool
14390,2016,19.61561866,Cool
14390,2017,18.33481748,Cool
14390,2018,19.5144538,Cool
14443,2008,22.71798687,Warm
14443,2009,17.88866395,Cold
14443,2010,19.57039719,Cool
14443,2011,16.99649502,Cold
14443,2012,17.75932654,Cold
14443,2013,18.40759601,Cool
14470,2011,18.50213839,Cool
14470,2013,18.27687862,Cold
14470,2014,17.50786232,Cold
14470,2015,17.67286957,Cold
14470,2016,18.69933379,Cool
14470,2017,18.00540399,Cold
14470,2018,18.9858365,Cool
14484,2010,19.13849802,Cool
14484,2013,18.08452853,Cold
14484,2014,18.00606748,Cold
14484,2015,18.27070607,Cold
14484,2016,19.78860677,Cool
14484,2017,17.98945969,Cold
14523,2016,14.91029092,Cold
14523,2017,14.30843886,Cold
14523,2018,15.6359538,Cold
14532,2008,18.9671019,Cool
14532,2009,17.83479167,Cold
14532,2010,19.61515489,Cool
14532,2011,19.15275589,Cool
14532,2013,19.01064266,Cool
14532,2014,18.63359466,Cool
14532,2015,19.10147328,Cool
14532,2016,20.02533152,Cool
14584,2004,18.16980705,Cold
14584,2009,18.05890391,Cold
14584,2013,19.19343388,Cool
14584,2014,17.85133288,Cold
14584,2015,18.67879982,Cool
14584,2016,18.96088225,Cool
14584,2017,18.5380471,Cool
14584,2018,19.68239674,Cool
14602,2013,18.60343025,Cool
14602,2014,17.87088043,Cold
14602,2015,18.50209511,Cool
14720,2010,19.30340885,Cool
14720,2011,17.9713689,Cold
14720,2013,18.34683469,Cool
14720,2014,16.96323279,Cold
14720,2015,18.30166188,Cool
14720,2016,18.59399049,Cool
14720,2017,18.09948188,Cold
14720,2018,19.017726,Cool
14800,2013,18.91200362,Cool
14800,2014,18.27941667,Cold
14800,2015,18.66336011,Cool
14800,2016,19.3767192,Cool
14800,2017,18.30564991,Cool
14800,2018,19.77887862,Cool
14819,2010,17.39319524,Cold
14819,2013,16.53300226,Cold
14819,2014,15.92724049,Cold
14819,2015,16.44951812,Cold
14842,2011,17.80771552,Cold
14842,2013,17.56855525,Cold
14842,2014,16.85855118,Cold
14866,2014,18.25828986,Cold
14866,2015,19.02259194,Cool
14880,2011,15.49858026,Cold
14880,2014,14.71784783,Cold
14880,2015,15.31091398,Cold
14880,2016,16.4463008,Cold
14880,2017,15.48724321,Cold
14880,2018,16.30016078,Cold
15013,2009,15.61770206,Cold
15013,2011,19.44460845,Cool
15013,2013,19.67287274,Cool
15013,2015,19.87694506,Cool
15215,2008,19.13234284,Cool
15215,2009,17.63085462,Cold
15215,2010,20.18794293,Cool
15215,2011,18.96744837,Cool
15240,2011,17.92198766,Cold
15240,2013,18.36585054,Cool
15240,2014,17.7897817,Cold
15240,2015,17.97599019,Cold
15240,2016,19.10994496,Cool
15240,2017,17.59004689,Cold
15240,2018,18.76526495,Cool
15304,2014,17.85423505,Cold
15304,2015,18.34039085,Cool
15304,2016,19.13256963,Cool
15304,2017,17.84181793,Cold
15304,2018,19.31359647,Cool
15315,2011,17.72594553,Cold
15315,2013,17.81783741,Cold
15315,2014,17.10304031,Cold
15315,2015,17.7534769,Cold
15315,2016,19.03019701,Cool
15315,2017,17.43957292,Cold
15315,2018,17.95266395,Cold
15364,2008,17.43189493,Cold
15364,2009,19.71806295,Cool
15364,2013,21.12592527,Cool
15499,2014,17.68517437,Cold
15499,2015,18.06327636,Cold
15499,2016,19.35586955,Cool
15499,2017,17.74118478,Cold
15499,2018,18.94968976,Cool
15520,2004,15.01246914,Cold
15520,2010,16.23962104,Cold
15520,2013,16.37427582,Cold
15520,2014,15.03888496,Cold
15520,2015,15.3995471,Cold
15520,2016,16.26947781,Cold
15520,2017,16.14858062,Cold
15520,2018,16.72321154,Cold
15571,2008,18.66105254,Cool
15571,2009,17.36923868,Cold
15571,2010,19.62864719,Cool
15571,2013,18.64879438,Cool
15571,2014,18.6107337,Cool
15571,2015,18.97705254,Cool
15703,2013,17.6737312,Cold
15703,2014,17.32359284,Cold
15703,2015,17.65279982,Cold
15783,2007,18.45691716,Cool
15783,2013,18.32413315,Cool
15783,2014,17.38851223,Cold
15783,2015,18.05634149,Cold
15783,2016,18.85458757,Cool
15783,2017,17.77933243,Cold
15783,2018,19.39552491,Cool
15792,2013,14.64215761,Cold
15792,2014,13.17301602,Cold
15792,2015,11.65019601,Cold
15792,2016,13.02574094,Cold
15792,2017,12.4073596,Cold
15792,2018,10.98656975,Cold
15793,2013,17.70429121,Cold
15793,2014,16.14907518,Cold
15793,2015,15.22010598,Cold
15793,2016,15.21552672,Cold
15795,2013,17.61579257,Cold
15795,2014,16.68413617,Cold
15795,2015,15.86984828,Cold
15795,2016,17.92614493,Cold
15795,2017,16.19464194,Cold
15795,2018,15.87916712,Cold
15796,2013,18.94100951,Cool
15796,2014,17.93128397,Cold
15796,2015,18.66636639,Cool
15796,2017,18.30210054,Cool
15796,2018,19.25707926,Cool
15825,2013,16.92250725,Cold
15825,2014,15.50995592,Cold
15825,2016,15.82274185,Cold
15825,2017,14.72027009,Cold
15825,2018,14.14113587,Cold
15839,2009,15.79039402,Cold
15839,2010,17.21131341,Cold
15839,2011,16.6002106,Cold
15839,2012,17.09232971,Cold
15839,2013,18.29911866,Cool
15839,2014,15.69515217,Cold
15839,2015,15.5962192,Cold
15839,2016,16.6786024,Cold
15839,2018,17.35682971,Cold
15964,2006,15.82413778,Cold
15964,2010,14.61143815,Cold
15964,2013,16.63744565,Cold
15964,2014,16.4272971,Cold
15964,2015,16.35945562,Cold
15964,2016,17.44079891,Cold
15964,2017,15.90096739,Cold
15964,2018,17.12284556,Cold
16080,2014,17.14022554,Cold
16080,2015,17.85712627,Cold
16083,2008,18.50473822,Cool
16083,2009,17.80200181,Cold
16083,2010,19.23256341,Cool
16083,2011,19.35557018,Cool
16083,2012,19.09290082,Cool
16083,2013,18.72613089,Cool
16083,2014,17.82273234,Cold
16083,2016,18.77439629,Cool
16083,2018,19.57015308,Cool
16110,2010,14.43795089,Cold
16110,2011,15.54769989,Cold
16110,2013,13.90936322,Cold
16110,2014,12.17569067,Cold
16110,2015,13.27914481,Cold
16110,2016,11.89322917,Cold
16110,2017,16.14746603,Cold
16110,2018,18.27012364,Cold
16114,2011,17.84442395,Cold
16114,2013,17.722649,Cold
