STA_SEQ,SampleYear,MaxOfFishPer100M,YearGrp
16933,1988,92,G1
15700,1988,34,G1
15680,1988,38,G1
16730,1988,3,G1
15516,1988,153.3333333,G1
16385,1988,44,G1
15701,1988,75,G1
16393,1988,470,G1
16377,1988,207,G1
16758,1988,42.24137931,G1
16502,1988,11,G1
15171,1988,0,G1
15240,1988,37.33333333,G1
16539,1988,15,G1
14819,1988,4,G1
16387,1988,0,G1
17088,1988,118,G1
16114,1988,164,G1
16117,1988,128,G1
14402,1988,5.442176871,G1
15991,1988,28,G1
16116,1988,161,G1
16677,1989,4,G1
16512,1989,6.542056075,G1
16854,1989,2,G1
15014,1989,58,G1
15316,1989,23.07692308,G1
16761,1989,142,G1
16306,1989,27,G1
16535,1989,96,G1
14270,1989,2.666666667,G1
14857,1989,100,G1
16123,1989,22,G1
16121,1989,11.33333333,G1
16132,1990,8,G1
15066,1990,0,G1
15274,1990,76,G1
16913,1990,72,G1
14605,1990,2,G1
16528,1990,101,G1
16583,1990,19,G1
15855,1990,17.33333333,G1
17166,1990,86,G1
16921,1991,22,G1
16688,1991,225,G1
14227,1991,72,G1
15998,1991,53.33333333,G1
14740,1991,114.6666667,G1
17193,1991,15.33333333,G1
16972,1991,60,G1
17186,1991,4.854368932,G1
16599,1991,10,G1
16862,1991,44,G1
17035,1991,62,G1
15579,1991,50,G1
15577,1991,32,G1
16863,1991,201,G1
17120,1991,22,G1
15017,1991,15,G1
14500,1991,116,G1
17134,1991,192,G1
17125,1991,59.33333333,G1
17130,1991,42,G1
15730,1991,14,G1
14355,1991,8,G1
15515,1991,6,G1
17133,1991,60,G1
16693,1991,1,G1
16696,1991,101,G1
14453,1991,41,G1
16431,1991,4.705882353,G1
17147,1992,88,G1
15244,1992,157,G1
16726,1992,7,G1
17167,1992,16.66666667,G1
16714,1992,16.98113208,G1
17151,1992,57.14285714,G1
17157,1992,50,G1
15100,1992,4,G1
17155,1992,116.6666667,G1
17148,1992,312,G1
16623,1992,62,G1
14845,1992,36,G1
16747,1992,48,G1
16525,1992,43,G1
16922,1992,22,G1
16124,1992,47,G1
16191,1992,0,G1
15529,1992,44.66666667,G1
15519,1992,26.66666667,G1
16857,1992,19,G1
16328,1992,56.19047619,G1
15509,1992,53,G1
15505,1992,110,G1
16843,1992,4.666666667,G1
16498,1992,12,G1
14813,1992,16.66666667,G1
17179,1992,18,G1
17183,1992,20,G1
16610,1992,28,G1
16965,1992,106,G1
15035,1992,34.66666667,G1
16527,1992,58.0952381,G1
15062,1992,36,G1
16926,1993,20,G1
17013,1993,88,G1
16876,1993,40,G1
16787,1993,100,G1
16786,1993,184.8920863,G1
16928,1993,58,G1
16852,1993,22.22222222,G1
16930,1993,20,G1
16932,1993,33,G1
16793,1993,0,G1
17000,1993,148,G1
16809,1993,8,G1
16819,1993,118,G1
16836,1993,94,G1
15015,1993,20,G1
16297,1993,60.74766355,G1
14718,1993,10.76923077,G1
17169,1993,114.4444444,G1
17215,1993,25,G1
16484,1993,184.9056604,G1
16472,1993,20,G1
14597,1993,7.333333333,G1
14860,1993,46.66666667,G1
16298,1993,18,G1
17201,1993,17,G1
16295,1993,12,G1
16276,1993,60.95238095,G1
16192,1993,61.14649682,G1
15543,1993,21.33333333,G1
15711,1993,12.66666667,G1
14294,1993,9.333333333,G1
15796,1993,31.16883117,G1
14538,1993,13.33333333,G1
16607,1993,58,G1
17092,1993,154,G1
16692,1993,28,G1
16679,1993,28,G1
16661,1993,16,G1
16609,1993,183,G1
16594,1993,190,G1
17187,1993,76,G1
16645,1993,52,G1
16705,1994,14,G1
16416,1994,32.66666667,G1
16300,1994,18.66666667,G1
16532,1994,36,G1
16831,1994,144,G1
16581,1994,10,G1
16565,1994,300,G1
16697,1994,127.7777778,G1
16699,1994,68,G1
16735,1994,10,G1
16548,1994,17,G1
16108,1994,14,G1
17028,1994,62,G1
16944,1994,15.17857143,G1
17188,1994,17.33333333,G1
14866,1994,28,G1
14863,1994,84,G1
15003,1994,18,G1
15007,1994,74,G1
17026,1994,16,G1
17112,1994,128,G1
17014,1994,1,G1
15066,1995,46,G1
14819,1999,29.41176471,G2
14718,2001,0,G2
14720,2001,15.23809524,G2
14263,2001,1.369863014,G2
14774,2001,84,G2
14860,2002,85.59322034,G2
14857,2002,98.66666667,G2
14880,2002,130,G2
14866,2002,50.66666667,G2
14845,2002,5.333333333,G2
14863,2002,21.65605096,G2
15783,2002,0,G2
14842,2002,103.2258065,G2
14840,2002,17.85714286,G2
15062,2003,20,G2
15063,2003,36,G2
15003,2003,7.333333333,G2
15001,2003,55.33333333,G2
15024,2003,31.33333333,G2
15014,2003,8.666666667,G2
15013,2003,2.717391304,G2
15017,2003,73.79310345,G2
15035,2003,30,G2
15007,2003,101.2738854,G2
15015,2003,1.333333333,G2
14484,2004,191.2621359,G2
15304,2004,5.357142857,G2
15509,2004,88,G2
15210,2004,33.75,G2
14602,2004,18.63636364,G2
15529,2004,0.666666667,G2
15532,2004,85.71428571,G2
14470,2004,9.333333333,G2
15516,2004,77.39726027,G2
14597,2004,11.30434783,G2
15505,2004,307.9545455,G2
15172,2004,39.81481481,G2
15512,2004,136.25,G2
15520,2004,123.8095238,G2
15515,2004,24.27184466,G2
15306,2004,32.75862069,G2
15519,2004,61.33333333,G2
15240,2004,22.04724409,G2
15306,2005,0,G2
15711,2005,23.07692308,G2
15680,2005,56.09756098,G2
15516,2005,160.8695652,G2
15304,2005,0,G2
15701,2005,17.21311475,G2
15700,2005,11.00917431,G2
17816,2006,1.875,G2
17948,2006,22.36842105,G2
16192,2006,30,G2
14209,2006,12,G2
17462,2006,10.71428571,G2
14813,2006,3,G2
15532,2006,29.42857143,G2
17945,2006,3,G2
15516,2006,77.33333333,G2
15306,2006,0,G2
17949,2006,22.36842105,G2
15990,2006,10.90909091,G2
14355,2006,0,G2
15017,2006,12.5,G2
14453,2006,2.857142857,G2
15035,2006,5.333333333,G2
15855,2006,0.666666667,G2
16046,2006,34.50704225,G2
15964,2006,117.7777778,G2
15991,2006,12.83783784,G2
15210,2006,7.096774194,G2
16015,2006,7,G2
15998,2006,26.96629213,G2
17917,2007,35,G2
15516,2007,122.1374046,G2
14263,2007,22,G2
16106,2007,17.39130435,G2
16080,2007,18.66666667,G2
16078,2007,14.16666667,G2
16110,2007,141,G2
16072,2007,25,G2
17796,2007,10,G2
16015,2007,5.813953488,G2
16079,2007,13.33333333,G2
16117,2007,23.07692308,G2
16125,2007,38.61386139,G2
16124,2007,20,G2
16132,2007,11,G2
16123,2007,22.88135593,G2
16138,2007,25.74257426,G2
16122,2007,18.8034188,G2
16159,2007,127.2727273,G2
16108,2007,16.15384615,G2
16191,2007,34.18803419,G2
16288,2007,34.92822967,G2
16116,2007,11.30952381,G2
16114,2007,42.4,G2
15783,2007,21.53846154,G2
16111,2007,9,G2
16271,2007,98.33333333,G2
15796,2007,6,G2
16126,2007,4.117647059,G2
16276,2007,0,G2
16121,2007,3,G2
16535,2007,59.22330097,G2
15406,2007,18.66666667,G2
15304,2007,1.333333333,G2
14720,2007,14,G2
15210,2007,8.974358974,G2
15315,2007,32.40740741,G2
16127,2007,26,G2
17155,2007,10,G2
15100,2007,16.04095563,G2
16854,2007,18,G2
15013,2007,17.76315789,G2
14866,2007,9.090909091,G2
16992,2007,3.333333333,G2
15306,2007,2.666666667,G2
15066,2007,0,G2
15193,2007,33.88429752,G2
16926,2007,16,G2
14741,2008,7.692307692,G2
17945,2008,27.77777778,G2
