STA_SEQ,Station_ID_1,ADB_SegmentID,Station_Name,Proximity_Landmark,Municipality_Name,State_Name,SUB_BAS_SEQ_Name,YLat,XLong,LU_StationType_SEQ,textbox2
14126,1,CT7202-00_01,Aspetuck River,Downstream Bayberry Lane,WESTPORT,Connecticut,7202 - Aspetuck River - Saugatuck - Southwest Coast,41.1864,-73.3429,River/Stream,Total Records: 6196
14127,2,CT6705-00_02,Bantam River,upstream Morris Hill Road/Stoddard Road,LITCHFIELD,Connecticut,6705 - Bantam River - Shepaug - Housatonic,41.7122,-73.2457,River/Stream,Total Records: 6196
14128,3,CT6705-00_01,Bantam River,downstream Smokey Hollow Road,MORRIS,Connecticut,6705 - Bantam River - Shepaug - Housatonic,41.6884,-73.2668,River/Stream,Total Records: 6196
14129,4,CT6918-00_01,Beacon Hill Brook,at Andrasko Road,BEACON FALLS,Connecticut,6918 - Beacon Hill Brook - Naugatuck - Housatonic,41.4684,-73.0501,River/Stream,Total Records: 6196
14130,5,NOSEG,Beaver Pond Brook,upstream Harper Ferry Road,WATERBURY,Connecticut,6913 - Beaver Pond Brook - Naugatuck - Housatonic,41.5393,-73.0077,River/Stream,Total Records: 6196
14131,6,CT4601-00_01,Belcher Brook,upstream Elizabeth Road,BERLIN,Connecticut,4601 - Belcher Brook - Mattabesset - Connecticut,41.5932,-72.7662,River/Stream,Total Records: 6196
14132,7,CT6100-00_02a,Blackberry River,upstream Route 44 Bridge,NORTH CANAAN,Connecticut,6100 - Blackberry River - Blackberry - Housatonic,42.0236,-73.341,River/Stream,Total Records: 6196
14133,8,CT6100-00_05,Blackberry River,upstream POTW effluent,NORFOLK,Connecticut,6100 - Blackberry River - Blackberry - Housatonic,42.0007,-73.2184,River/Stream,Total Records: 6196
14134,9,CT6100-00_04,Blackberry River,downstream 50ft POTW effluent,NORFOLK,Connecticut,6100 - Blackberry River - Blackberry - Housatonic,42.0009,-73.2193,River/Stream,Total Records: 6196
14135,10,CT6100-00_04,Blackberry River,downstream 75ft POTW effluent,NORFOLK,Connecticut,6100 - Blackberry River - Blackberry - Housatonic,42.0009,-73.2196,River/Stream,Total Records: 6196
14136,11,CT6100-00_04,Blackberry River,downstream 200ft POTW effluent,NORFOLK,Connecticut,6100 - Blackberry River - Blackberry - Housatonic,42.0012,-73.2204,River/Stream,Total Records: 6196
14137,12,CT4707-00_01,Blackledge River,US Confluence with Lyman Brook,MARLBOROUGH,Connecticut,4707 - Blackledge River - Salmon - Connecticut,41.6084,-72.4263,River/Stream,Total Records: 6196
14138,13,CT6919-00_01,Bladens River (Bladdens River),under Route 8 & Route 67 junction,SEYMOUR,Connecticut,6919 - Bladens River - Naugatuck - Housatonic,41.3972,-73.0718,River/Stream,Total Records: 6196
14139,14,CT6919-00_01,Bladens River (Bladdens River),downstream North Road/Pearl St.,SEYMOUR,Connecticut,6919 - Bladens River - Naugatuck - Housatonic,41.3958,-73.0608,River/Stream,Total Records: 6196
14140,15,NOSEG,Bolton Notch Pond,In Bolton Notch Pond,BOLTON,Connecticut,4503 - Tankerhoosen River - Hockanum - Connecticut,41.7894,-72.4525,Lake,Total Records: 6196
14141,16,CT3100-03_02,Bonemill Brook,upstream 100 m Sweetheart Lake,TOLLAND,Connecticut,3100 - Willimantic River - Willimantic - Thames,41.9249,-72.3162,River/Stream,Total Records: 6196
14142,17,CT3100-03_01,Bonemill Brook,between Plains Road and RR crossing,TOLLAND,Connecticut,3100 - Willimantic River - Willimantic - Thames,41.9272,-72.3069,River/Stream,Total Records: 6196
14143,18,CT6910-00_01,Branch Brook,upstream Route 8 pipe,THOMASTON,Connecticut,6910 - Branch Brook - Naugatuck - Housatonic,41.648,-73.0822,River/Stream,Total Records: 6196
14144,19,CT6910-00_01,Branch Brook,downstream Route 8 pipe,THOMASTON,Connecticut,6910 - Branch Brook - Naugatuck - Housatonic,41.6478,-73.0814,River/Stream,Total Records: 6196
14145,20,CT6910-00_01,Branch Brook,downstream POTW near mouth,WATERTOWN,Connecticut,6910 - Branch Brook - Naugatuck - Housatonic,41.6434,-73.081,River/Stream,Total Records: 6196
