STA_SEQ,Station_Name,tripdate,SampYr,NominalTier,NominalMem,SecondTier,SecondMem,SumOfABUNDANCE
14221,Hammonasset River,11/2/2004,2004,3,1,,0,170
14221,Hammonasset River,10/2/2007,2007,3,1,,0,186
14221,Hammonasset River,10/13/2009,2009,2,0.5,3,0.5,205
14221,Hammonasset River,10/13/2011,2011,2,0.5,3,0.5,217
14221,Hammonasset River,10/16/2013,2013,4,0.756756757,3,0.243243243243244,198
14221,Hammonasset River,10/25/2016,2016,3,1,3,0,192
14221,Hammonasset River,10/21/1997,1997,2,0.5,3,0.5,197
14247,Hollenbeck River,10/21/2011,2011,4,0.778846154,3,0.221153846153846,208
14247,Hollenbeck River,10/8/2013,2013,4,1,4,0,213
14247,Hollenbeck River,9/25/2008,2008,3,1,,0,231
14247,Hollenbeck River,9/21/2006,2006,3,1,,0,249
14247,Hollenbeck River,11/6/1996,1996,2,1,,0,222
14247,Hollenbeck River,10/28/2016,2016,4,0.783783784,5,0.216216216216216,185
14314,Natchaug River,10/11/2001,2001,2,0.661290323,3,0.338709677419355,216
14314,Natchaug River,11/2/2005,2005,3,1,,0,193
14314,Natchaug River,10/16/2017,2017,3,1,3,0,326
14314,Natchaug River,10/6/2014,2014,3,0.728070175,4,0.206712433257056,228
14314,Natchaug River,9/16/2010,2010,3,1,,0,256
14314,Natchaug River,10/2/2009,2009,3,1,,0,263
14314,Natchaug River,9/22/2008,2008,2,0.5,3,0.5,224
14314,Natchaug River,9/21/2007,2007,3,0.661290323,2,0.338709677419355,220
14314,Natchaug River,9/20/2006,2006,3,1,,0,222
14314,Natchaug River,11/7/1989,1989,2,1,,0,200
14314,Natchaug River,10/2/2000,2000,3,1,,0,209
14314,Natchaug River,10/26/1999,1999,3,1,,0,247
14314,Natchaug River,10/23/1998,1998,2,1,,0,195
14314,Natchaug River,10/10/1997,1997,2,0.5,3,0.5,249
14314,Natchaug River,10/12/1995,1995,3,0.628205128,2,0.371794871794872,199
14314,Natchaug River,10/11/1994,1994,2,1,,0,181
14314,Natchaug River,10/22/1991,1991,2,1,,0,198
14314,Natchaug River,10/18/2002,2002,2,0.661290323,3,0.338709677419355,213
14314,Natchaug River,10/8/2003,2003,2,0.865853659,3,0.134146341463415,233
14441,Salmon River,9/23/2008,2008,3,1,,0,231
14441,Salmon River,10/22/2009,2009,2,1,,0,217
14441,Salmon River,10/4/2010,2010,3,0.954545455,2,4.54545454545453E-02,247
14441,Salmon River,10/12/2011,2011,3,0.723404255,2,0.25,188
14441,Salmon River,9/18/2012,2012,4,1,4,0,271
14441,Salmon River,9/19/2013,2013,3,0.701923077,2,0.25,228
14441,Salmon River,9/30/2014,2014,3,0.635135135,2,0.364864864864865,262
14441,Salmon River,9/15/2015,2015,3,0.794117647,2,0.205882352941177,256
14441,Salmon River,10/19/2017,2017,2,0.5,3,0.5,176
14441,Salmon River,10/23/1991,1991,3,1,,0,190
14441,Salmon River,9/24/2007,2007,3,1,,0,211
14441,Salmon River,9/30/2016,2016,2,0.6,3,0.4,203
14441,Salmon River,10/10/1997,1997,3,1,,0,223
14441,Salmon River,10/26/1995,1995,2,0.976190476,3,2.38095238095241E-02,201
14441,Salmon River,9/20/2006,2006,3,1,,0,201
14441,Salmon River,11/18/1996,1996,2,0.5,3,0.5,187
14441,Salmon River,10/13/1994,1994,3,1,,0,207
14441,Salmon River,10/27/1998,1998,2,0.628205128,3,0.371794871794871,213
14441,Salmon River,11/8/1999,1999,2,1,,0,231
14441,Salmon River,10/11/2001,2001,3,1,,0,221
14441,Salmon River,10/8/2003,2003,3,0.642857143,2,0.357142857142857,221
14441,Salmon River,10/25/2004,2004,2,0.5,3,0.5,228
14441,Salmon River,10/31/2005,2005,2,0.5,3,0.5,211
14442,Sandy Brook,10/3/2012,2012,3,1,3,0,255
14442,Sandy Brook,10/1/2009,2009,3,0.635135135,2,0.364864864864865,211
14442,Sandy Brook,9/29/2010,2010,3,0.642857143,2,0.357142857142857,208
14442,Sandy Brook,11/10/2011,2011,2,0.62195122,3,0.378048780487805,221
14442,Sandy Brook,9/17/2008,2008,3,0.628205128,2,0.371794871794872,212
14442,Sandy Brook,11/20/1996,1996,2,1,,0,223
14442,Sandy Brook,10/15/2013,2013,2,0.5,3,0.5,199
14442,Sandy Brook,9/24/2014,2014,4,0.666666667,3,0.333333333333334,198
14442,Sandy Brook,9/14/2015,2015,4,0.511111111,2,0.244444444444444,225
14442,Sandy Brook,10/6/2017,2017,3,0.832335329,4,0.167664670658683,169
14442,Sandy Brook,10/9/2007,2007,2,0.5,3,0.5,214
14442,Sandy Brook,10/12/2016,2016,2,0.642857143,3,0.357142857142857,200
14442,Sandy Brook,9/21/2006,2006,3,1,,0,226
14442,Sandy Brook,10/21/1998,1998,2,1,,0,188
14442,Sandy Brook,11/4/1993,1993,3,0.75,2,0.25,202
14442,Sandy Brook,10/18/1995,1995,2,1,,0,200
14442,Sandy Brook,10/7/1997,1997,2,1,,0,231
14442,Sandy Brook,11/9/1999,1999,2,1,,0,220
14442,Sandy Brook,10/5/2000,2000,3,0.8,2,0.2,173
14442,Sandy Brook,10/4/2001,2001,3,1,,0,178
14442,Sandy Brook,10/8/2002,2002,2,1,,0,222
14442,Sandy Brook,11/12/2003,2003,2,1,,0,220
14442,Sandy Brook,11/4/2005,2005,2,0.8,3,0.2,208
14442,Sandy Brook,10/24/1994,1994,2,1,,0,281
14470,Tankerhoosen River,10/26/1995,1995,2,0.5,3,0.5,184
14470,Tankerhoosen River,10/3/2013,2013,3,1,3,0,253
