date,1118300,1121000,1123000,1125490,1187300,1188000,1193500,1194000,1194500,1195100,1208950,1208990,index,gagecnt
1/1/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/2/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/3/1989,4,4,4,NA,3,4,3,NA,NA,4,3,3,3.555555556,9
1/4/1989,3,4,4,NA,3,4,3,NA,NA,4,3,3,3.444444444,9
1/5/1989,3,3,3,NA,3,4,3,NA,NA,3,3,3,3.111111111,9
1/6/1989,3,3,3,NA,3,3,3,NA,NA,3,3,3,3,9
1/7/1989,3,3,3,NA,3,3,3,NA,NA,3,3,3,3,9
1/8/1989,3,4,3,NA,3,3,4,NA,NA,4,4,4,3.555555556,9
1/9/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/10/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/11/1989,3,4,4,NA,3,3,4,NA,NA,4,3,3,3.444444444,9
1/12/1989,3,3,4,NA,3,4,4,NA,NA,4,4,4,3.666666667,9
1/13/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/14/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/15/1989,5,4,4,NA,4,5,4,NA,NA,5,4,4,4.333333333,9
1/16/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
1/17/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/18/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/19/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
1/20/1989,4,3,4,NA,3,4,3,NA,NA,4,4,4,3.666666667,9
1/21/1989,4,3,3,NA,3,4,3,NA,NA,3,4,4,3.444444444,9
1/22/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
1/23/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
1/24/1989,3,3,3,NA,3,3,3,NA,NA,3,3,3,3,9
1/25/1989,4,3,3,NA,3,3,3,NA,NA,2,3,3,3,9
1/26/1989,4,4,3,NA,3,3,4,NA,NA,4,4,4,3.666666667,9
1/27/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/28/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/29/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/30/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
1/31/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/1/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/2/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/3/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/4/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/5/1989,4,4,3,NA,4,4,4,NA,NA,4,3,3,3.666666667,9
2/6/1989,4,3,3,NA,3,4,4,NA,NA,3,3,4,3.444444444,9
2/7/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
2/8/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
2/9/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
2/10/1989,3,3,2,NA,2,3,3,NA,NA,3,3,3,2.777777778,9
2/11/1989,3,2,2,NA,2,3,3,NA,NA,2,3,3,2.555555556,9
2/12/1989,2,2,2,NA,2,3,3,NA,NA,2,3,3,2.444444444,9
2/13/1989,3,2,2,NA,2,2,3,NA,NA,2,2,3,2.333333333,9
2/14/1989,4,3,3,NA,2,4,4,NA,NA,4,5,4,3.666666667,9
2/15/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
2/16/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/17/1989,4,3,4,NA,3,4,3,NA,NA,4,4,4,3.666666667,9
2/18/1989,4,3,3,NA,2,3,3,NA,NA,4,4,4,3.333333333,9
2/19/1989,4,2,3,NA,2,3,3,NA,NA,3,3,3,2.888888889,9
2/20/1989,3,2,3,NA,2,3,3,NA,NA,3,3,3,2.777777778,9
2/21/1989,5,6,4,NA,6,5,5,NA,NA,6,6,4,5.222222222,9
2/22/1989,6,6,6,NA,5,5,6,NA,NA,6,6,5,5.666666667,9
2/23/1989,5,5,6,NA,5,4,6,NA,NA,6,5,4,5.111111111,9
2/24/1989,4,4,5,NA,4,4,4,NA,NA,4,4,4,4.111111111,9
2/25/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
2/26/1989,4,4,4,NA,3,3,4,NA,NA,4,4,4,3.777777778,9
2/27/1989,4,4,4,NA,3,3,4,NA,NA,4,4,4,3.777777778,9
2/28/1989,4,4,4,NA,3,3,4,NA,NA,4,4,3,3.666666667,9
3/1/1989,4,4,4,NA,3,3,3,NA,NA,4,4,3,3.555555556,9
3/2/1989,4,3,4,NA,2,2,3,NA,NA,4,4,3,3.222222222,9
3/3/1989,4,3,4,NA,2,2,3,NA,NA,4,4,3,3.222222222,9
3/4/1989,4,3,3,NA,2,2,3,NA,NA,4,3,3,3,9
3/5/1989,4,3,3,NA,2,2,3,NA,NA,4,3,3,3,9
3/6/1989,3,2,4,NA,2,2,3,NA,NA,4,4,3,3,9
3/7/1989,3,2,3,NA,2,1,2,NA,NA,3,3,2,2.333333333,9
3/8/1989,3,2,3,NA,1,1,2,NA,NA,3,3,2,2.222222222,9
3/9/1989,3,2,3,NA,1,1,2,NA,NA,2,2,2,2,9
3/10/1989,2,2,2,NA,1,1,2,NA,NA,2,3,2,1.888888889,9
3/11/1989,2,2,2,NA,1,1,2,NA,NA,2,3,2,1.888888889,9
3/12/1989,2,2,2,NA,1,2,2,NA,NA,3,3,2,2.111111111,9
3/13/1989,2,2,2,NA,1,2,2,NA,NA,3,2,2,2,9
3/14/1989,2,2,2,NA,1,2,2,NA,NA,2,2,2,1.888888889,9
