STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
17936,TERRY BROOK,2,4.09,1.87,0,0.46,5508,85367,0,15.49872912,67.61273889,0.156721386,0.711725179,0,4.541340502,0,0,3,3,1,1,8,2,1,0.086
16933,OWENS BROOK,1,0.69,0.57,0,0,1666,24997,0,15.00420168,63.15789474,0.035791761,0,0,0,0,0,3,1,1,1,6,2,1,0.213
17092,Sugar Brook,2,4.271404,2.972975,0,0,8544,13379,0,1.565894195,61.57930742,0.26250635,0,0,0,0,0,1,1,1,1,4,1,1,0.416
16581,COLD SPRING BROOK,1,1.658081,0.928751,0,0,2667,1778,0,0.666666667,57.51677152,0.061763944,0,0,0,0,0,1,1,1,1,4,1,1,0.505
16609,Denison Brook,2,2.854281,1.26291,0,0,3632,1710,0,0.470814978,51.99386503,0.085251358,0,0,0,0,0,1,1,1,1,4,1,1,0.253
14504,Hop Brook,4,23.79,11.086114,2,4.46,32416,102738,0,3.169360809,50.69273237,1.176380309,6.900639779,0,5.865993954,0,0.084068937,2,3,2,1,8,2,1,0.127
15991,Stratton Brook,3,7.85,3.83552,0,0,11182,27077,0,2.421480952,50.46305086,0.323525694,0,0,0,0,0,2,1,1,1,5,1,1,0.191
15066,Patton Brook,2,3.174278,2.736826,0,0,7866,102916,0,13.08365116,48.75775807,0.211071422,0,0,0,0,0,3,1,1,1,6,2,1,0.688
16548,BUTTONBALL BROOK,3,5.751039,1.604363,0,0,4626,8702,0,1.881106788,47.66283679,0.109108137,0,0,0,0,0,1,1,1,1,4,1,1,0.14
14270,Ketch Brook,3,8.27,6.856979,1,55.23,19846,61881,0,3.118059055,45.0585111,0.618665999,85.45343834,0,138.1253187,0,0.120918984,2,3,3,1,9,3,1,0.138
15964,Thompson Brook,2,6.77,3.61,0,2.9,10511,90538,0,8.61364285,43.80576656,0.279903805,4.486963085,0,16.03037547,0,0,3,3,1,1,8,2,1,0.325
16046,Chidsey Brook,2,3.54,2.31,0,2.78,6715,67407,0,10.03827252,42.05143606,0.159462919,4.301295647,0,26.97364174,0,0,3,3,1,1,8,2,1,0.494
17300,Cabin Brook,2,3.22,1.028619,0,0,3064,17525,0,5.71964752,37.7807123,0.056578211,0,0,0,0,0,3,1,1,1,6,2,1,0.235
14209,Fulling Mill Brook,4,11.61715059,5.073354841,0,17.1,15306,225884,0,14.75787273,35.98246058,0.38317919,26.45760992,0,69.04761695,0,0,3,3,1,1,8,2,1,0.073
17398,Negro Hill Brook,2,6.01,2.35,0,0,6916,7678,0,1.110179294,33.63213251,0.145492192,0,0,0,0,0,1,1,1,1,4,1,1,0.377
15855,Willow Brook (Hamden)-01,3,30.298235,12.966606,1,1.1,37304,282893,0,7.583449496,33.25661318,1.15067423,1.701951515,0,1.479090668,0,0.033005223,3,3,2,1,9,3,1,0.127
14470,Tankerhoosen River,3,19.53,9.082364,1,0,26531,175946,0,6.631713844,32.72712596,0.740812636,0,0,0,0,0.051203277,3,1,2,1,7,2,1,0.052
14857,Beaver Meadow Brook,2,1.51,0.63,0,0,1852,1730,0,0.93412527,32.36607205,0.028861021,0,0,0,0,0,1,1,1,1,4,1,1,0.24
14212,Fulling Mill Brook,3,6.637150594,2.868762889,0,0,8601,100237,0,11.65410999,32.08190771,0.181004901,0,0,0,0,0,3,1,1,1,6,2,1,0.233
15406,Little Brook,1,1.91,1.17,0,0,3383,67504,0,19.95388708,30.76923077,0.059655269,0,0,0,0,0,3,1,1,1,6,2,1,0.585
14605,Eightmile River,4,30.773636,14.148534,2,8.25,40704,405911,0,9.972263168,30.51285031,1.224934138,12.76463636,0,10.42067159,0,0.064990695,3,3,2,1,9,3,1,0.35
15193,Honeypot Brook,2,5.858256,2.923391,0,3.7,8410,144434,0,17.17407848,30.09091155,0.17931688,5.724746005,0,31.92530447,0,0,3,3,1,1,8,2,1,1.248
14597,Myron Kinney  Brook,3,13.126313,5.842838,0,0,16815,7985,0,0.474873625,29.8014233,0.413648249,0,0,0,0,0,1,1,1,1,4,1,1,0.199
16512,BIRCH MOUNTAIN BROOK,2,4.94,2.07,2,0,6032,41315,0,6.849303714,28.98550725,0.115723116,0,0,0,0,0.4048583,3,1,3,1,8,2,1,0.527
15171,East Branch Salmon Brook,5,95.53,38.399168,2,6.97,112950,186252,0,1.648977424,27.34563092,3.895700619,10.78418369,0,2.768227014,0,0.020935832,1,3,2,1,7,2,1,0.139
16793,Koistenen Brook,1,1.981155,1.024696,0,0,2954,2040,0,0.690589032,26.79499701,0.047366805,0,0,0,0,0,1,1,1,1,4,1,1,0.604
15316,Gages Brook,2,2.32,1.07,0,0,3130,35410,0,11.31309904,26.23460075,0.049392602,0,0,0,0,0,3,1,1,1,6,2,1,0.202
15100,Spruce Swamp Creek,3,19.83,10.31729466,1,0.44,30296,21785,0,0.719071825,26.09750868,0.771633761,0.680780606,0,0.882258709,0,0.050428643,1,2,2,1,6,2,1,0.198
16992,QUINNIPIAC RIVER,5,147.33589,77.481701,11,35.09,222989,3307723,11.4,14.83357027,26.09172584,8.922142337,54.29225333,17.63840661,6.08511401,1.976925042,0.074659338,3,3,2,3,11,3,1,0.586
15013,Mill River,4,49.507629,22.014792,4,7.24,63347,526132,0,8.305555117,25.67324733,1.920636866,11.20193543,0,5.832406751,0,0.080795628,3,3,2,1,9,3,1,0.289
16484,Ballymahack Brook,2,2.881611,0.909927,0,0,2627,1695,0,0.645222687,24.84566806,0.039474589,0,0,0,0,0,1,1,1,1,4,1,1,0.258
14774,Bride Brook,2,2.747369,1.285348,0,0.86,3694,13818,0,3.740661,24.171795,0.059215,1.330617,0,22.470782,0,0,2,3,1,1,7,2,1,0.433
17850,Kelly Brook,2,2.380503,0.847945,0,0,2443,1128,0,0.461727384,22.79753293,0.03469759,0,0,0,0,0,1,1,1,1,4,1,1,0.399
16852,Miller Brook,4,12.278676,4.58983,1,0,13202,6983,0,0.52893501,21.88570424,0.264135095,0,0,0,0,0.081442006,1,1,2,1,5,1,1,0.144
16472,Anguilla Brook,3,12.179192,5.672691,0,0,16320,66634,0,4.082966,21.194307,0.336118,0,0,0,0,0,2,1,1,1,5,1,1,0.092
17796,CROWLEY Brook,3,10.192615,2.44294,0,0,7029,19468,0,2.769668516,20.70751787,0.119453431,0,0,0,0,0,2,1,1,1,5,1,1,0.108
18782,Beaver Meadow Brook,2,3.59,1.35,0,0,3999,1925,0,0.481370343,19.60600356,0.056560678,0,0,0,0,0,1,1,1,1,4,1,1,0.199
16876,Mountain Brook,2,3.562186,1.186691,0,0,3421,3242,0,0.947676118,19.49726598,0.048229538,0,0,0,0,0,1,1,1,1,4,1,1,0.414
16730,HAWLEY BROOK,1,2.01,1.19,2,0,3430,7973,0,2.324489796,19.32773109,0.048180452,0,0,0,0,0.995024876,2,1,3,1,7,2,1,0.616
18468,Joe Clark Brook,3,8.413519,3.384836,0,0,9754,20681,0,2.120258356,18.966323,0.169797678,0,0,0,0,0,2,1,1,1,5,1,1,0.211
17026,SANDY BROOK,2,3.845136,1.204897,0,0,3474,810,0,0.233160622,18.81413606,0.048254635,0,0,0,0,0,1,1,1,1,4,1,1,0.358
16786,Jordan Brook,3,9.87321,3.706955,0,0,10665,92115,0,8.637131,18.706402,0.188298,0,0,0,0,0,3,1,1,1,6,2,1,0.361
16111,Beaver Meadow Brook,2,4.73,1.75,0,0,5175,5136,0,0.992463768,18.55320275,0.07538329,0,0,0,0,0,1,1,1,1,4,1,1,0.089
14860,Flat Brook,2,4.651194,1.693499,0,0,4875,27220,0,5.583589744,17.20042701,0.069728273,0,0,0,0,0,3,1,1,1,6,2,1,0.307
16836,Merrick Brook,4,69.464791,19.158277,2,0,55145,34054,0,0.617535588,16.91633668,1.314942787,0,0,0,0,0.028791564,1,1,2,1,5,1,1,0.028
15210,Beaver Brook,3,25.715041,7.753321,2,0,22318,10268,0,0.460077068,16.76701309,0.436501191,0,0,0,0,0.077775493,1,1,2,1,5,1,1,0.271
14538,Hans Brook,2,3.36,1.75,0,0,5116,27379,0,5.351641908,16.61754727,0.07131355,0,0,0,0,0,3,1,1,1,6,2,1,0.11
14602,Merrick Brook,4,74.903283,20.544763,2,0,59136,35314,0,0.597165855,16.48041006,1.412658663,0,0,0,0,0.026701099,1,1,2,1,5,1,1,0.419
16645,Falls Brook,3,6.444244,1.542638,0,0,4440,10168,0,2.29009009,16.20592236,0.060420459,0,0,0,0,0,2,1,1,1,5,1,1,0.238
14263,Kahn Brook,2,5.425859,1.702051,0,0,4896,6292,0,1.285130719,15.80524629,0.067229518,0,0,0,0,0,1,1,1,1,4,1,1,0.059
16539,BUNNELL BROOK,3,7.42,2.78,0,0,8205,11550,0,1.407678245,15.75794146,0.121785414,0,0,0,0,0,1,1,1,1,4,1,1,0.064
