DEEPTaxaID,finalID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,SPECIES,FFG,SensitiveEPT,BCG_Attribute
1,Adicrophleps hitchcocki,Arthropoda,Insecta,Trichoptera,Brachycentridae,Na,Na,Adricrophleps,hitchcocki,SHR,1,2
2,Alloperla usa,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Na,Na,Alloperla,usa,C-G,1,2
3,Ameletus lineatus,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Na,Na,Ameletus,lineatus,C-G,1,
4,Annelida,Annelida,Na,Na,Na,Na,Na,Na,Na,C-G,0,
5,Arigomphus,Arthropoda,Insecta,Odonata,Gomphidae,Na,Na,Arigomphus,Na,PRD,0,
7,Arigomphus furcifer,Arthropoda,Insecta,Odonata,Gomphidae,Na,Na,Arigomphus,furcifer,PRD,0,
8,Arthroplea bipunctata,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Na,Na,Arthroplea,bipunctata,C-F,1,
9,Aulodrilus japonicus,Annelida,Clitellata,Haplotaxida,Tubificidae,Na,Na,Aulodrilus,japonicus,C-G,0,5
10,Baetisca laurentina,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,Na,Na,Baetisca,laurentina,C-G,1,3
11,Brachyptera,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Na,Na,Brachyptera,Na,SHR,1,
12,Cambarus robustus,Arthropoda,Malacostraca,Decapoda,Cambaridae,Na,Na,Cambarus,robustus,C-G,0,4
14,Ceratopsyche morosa,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Ceratopsyche,morosa,C-F,0,5
15,Ceratopsyche ventura,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Ceratopsyche,ventura,C-F,0,5
16,Ceratopsyche walkeri,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Ceratopsyche,walkeri,C-F,0,5
17,Chloroperlidae/Leuctridae,Arthropoda,Insecta,Plecoptera,Na,Na,Na,Na,Na,?,0,
