STA_SEQ,Station_Name,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,SampYr,TaxonNameCurrent,FAMILY,GENUS,BCG_Attribute,SensitiveEPT
14188,Eightmile River,1,Riffle,KN2M2,First,,Acentrella,L,4,10/6/1993,1993,Acentrella,Baetidae,Acentrella,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Acroneuria abnormis,L,6,10/6/1993,1993,Acroneuria abnormis,Perlidae,Acroneuria,3,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Acroneuria lycorias,L,1,10/6/1993,1993,Acroneuria lycorias,Perlidae,Acroneuria,3,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Baetis,L,3,10/6/1993,1993,Plauditus,Baetidae,Plauditus,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Bezzia group,L,1,10/6/1993,1993,Bezzia group,Ceratopogonidae,Bezzia,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Ceratopsyche bifida group,L,9,10/6/1993,1993,Ceratopsyche morosa,Hydropsychidae,Ceratopsyche,5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Ceratopsyche sparna,L,40,10/6/1993,1993,Ceratopsyche sparna,Hydropsychidae,Ceratopsyche,5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Cheumatopsyche,L,13,10/6/1993,1993,Cheumatopsyche,Hydropsychidae,Cheumatopsyche,5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Chimarra aterrima,L,16,10/6/1993,1993,Chimarra aterrima,Philopotamidae,Chimarra,4,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Corydalus cornutus,L,4,10/6/1993,1993,Corydalus cornutus,Corydalidae,Corydalus,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Cricotopus trifascia group,L,1,10/6/1993,1993,Cricotopus trifascia group,Chironomidae,Cricotopus,5.5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Diamesinae,L,1,10/6/1993,1993,Diamesinae,Chironomidae,Na,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Dicranota,L,5,10/6/1993,1993,Dicranota,Tipulidae,Dicranota,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Ephemerella subvaria,L,7,10/6/1993,1993,Ephemerella subvaria,Ephemerellidae,Ephemerella,3,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Ferrissia walkeri,A,2,10/6/1993,1993,Ferrissia walkeri,Ancylidae,Ferrissia,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Gammarus,A,1,10/6/1993,1993,Gammarus,Gammaridae,Gammarus,5.5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Glossosoma,L,2,10/6/1993,1993,Glossosoma,Glossosomatidae,Glossosoma,4,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Hemerodromia,L,2,10/6/1993,1993,Hemerodromia,Empididae,Hemerodromia,5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Hydropsyche betteni,L,31,10/6/1993,1993,Hydropsyche betteni,Hydropsychidae,Hydropsyche,5,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Laevapex fuscus,A,6,10/6/1993,1993,Laevapex fuscus,Ancylidae,Laevapex,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Maccaffertium modestum group,L,1,10/6/1993,1993,Maccaffertium modestum group,Heptageniidae,Maccaffertium,4,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Nanocladius spiniplenus,L,1,10/6/1993,1993,Nanocladius spiniplenus,Chironomidae,Nanocladius,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Nigronia serricornis,L,2,10/6/1993,1993,Nigronia serricornis,Corydalidae,Nigronia,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Optioservus,L,19,10/6/1993,1993,Optioservus,Elmidae,Optioservus,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Optioservus trivittatus,A,1,10/6/1993,1993,Optioservus trivittatus,Elmidae,Optioservus,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Oulimnius latiusculus,A,8,10/6/1993,1993,Oulimnius latiusculus,Elmidae,Oulimnius,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Oulimnius latiusculus,L,4,10/6/1993,1993,Oulimnius latiusculus,Elmidae,Oulimnius,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Paratanytarsus,L,1,10/6/1993,1993,Paratanytarsus,Chironomidae,Paratanytarsus,4,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Promoresia tardella,A,2,10/6/1993,1993,Promoresia tardella,Elmidae,Promoresia,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Psephenus herricki,L,12,10/6/1993,1993,Psephenus herricki,Psephenidae,Psephenus,3,0
14188,Eightmile River,1,Riffle,KN2M2,First,,Psychomyia,L,2,10/6/1993,1993,Psychomyia,Psychomyiidae,Psychomyia,4,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Rhyacophila carolina,L,1,10/6/1993,1993,Rhyacophila carolina,Rhyacophilidae,Rhyacophila,3,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Rhyacophila fuscula,L,2,10/6/1993,1993,Rhyacophila fuscula,Rhyacophilidae,Rhyacophila,3,1
14188,Eightmile River,1,Riffle,KN2M2,First,,Stenelmis,L,1,10/6/1993,1993,Stenelmis,Elmidae,Stenelmis,4,0
