STA_SEQ,Station_Name,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,SampYr,TaxonNameCurrent,FAMILY,GENUS,BCG_Attribute,SensitiveEPT
14137,Blackledge River,1,Riffle,KN2M2,First,,Acroneuria carolinensis,L,1,10/27/98,1998,Acroneuria carolinensis,Perlidae,Acroneuria,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Amnicola limosa,A,1,10/27/98,1998,Amnicola limosus,Hydrobiidae,Amnicola,5,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Apatania,L,2,10/27/98,1998,Apatania,Apataniidae,Apatania,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Brachycentrus,L,1,10/27/98,1998,Brachycentrus,Brachycentridae,Brachycentrus,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Ceratopsyche sparna,L,6,10/27/98,1998,Ceratopsyche sparna,Hydropsychidae,Ceratopsyche,5,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Cheumatopsyche,L,3,10/27/98,1998,Cheumatopsyche,Hydropsychidae,Cheumatopsyche,5,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Chimarra aterrima,L,11,10/27/98,1998,Chimarra aterrima,Philopotamidae,Chimarra,4,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Chironomidae,L,1,10/27/98,1998,Chironomidae,Chironomidae,Na,,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Corydalus cornutus,L,1,10/27/98,1998,Corydalus cornutus,Corydalidae,Corydalus,4,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Dolophilodes,L,5,10/27/98,1998,Dolophilodes,Philopotamidae,Dolophilodes,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Epeorus,L,4,10/27/98,1998,Epeorus,Heptageniidae,Epeorus,2,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Ephemerella dorothea,L,5,10/27/98,1998,Ephemerella dorothea,Ephemerellidae,Ephemerella,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Ephemerella rotunda,L,1,10/27/98,1998,Ephemerella invaria,Ephemerellidae,Ephemerella,3,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Glossosoma,L,8,10/27/98,1998,Glossosoma,Glossosomatidae,Glossosoma,4,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Helicopsyche borealis,L,3,10/27/98,1998,Helicopsyche borealis,Helicopsychidae,Helicopsyche,2,1
14137,Blackledge River,1,Riffle,KN2M2,First,,Hemerodromia,L,1,10/27/98,1998,Hemerodromia,Empididae,Hemerodromia,5,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Hexatoma,L,1,10/27/98,1998,Hexatoma,Tipulidae,Hexatoma,2,0
14137,Blackledge River,1,Riffle,KN2M2,First,,Hydropsyche betteni,L,1,10/27/98,1998,Hydropsyche betteni,Hydropsychidae,Hydropsyche,5,0
