SID,Station_Name,YLat,XLong
15171,East Branch Salmon Brook,41.955,-72.7794
15529,Macedonia Brook,41.7298,-73.4884
14602,Merrick Brook,41.661,-72.1101
17391,Mill River,41.2412,-73.254
16089,Morgan Brook,41.9086,-73.0007
16836,Merrick Brook,41.6792,-72.11
14592,Fenton River,41.7925,-72.21
15003,Wappoquia Brook,41.8751,-71.9658
16928,Obwebetuck Brook,41.6911,-72.1806
17188,WHETSTONE BROOK,41.8347,-71.8544
17462,burnap brook,41.7486,-72.3923
15210,Beaver Brook,41.6841,-72.1092
14593,Whetstone Brook,41.831633,-71.878097
14438,Salmon Brook,41.7211,-72.5559
14355,Nonewaug River,41.5575,-73.2122
16714,GULF STREAM,41.79,-73.1669
14597,Myron Kinney  Brook,41.5533,-71.8619
14720,Green Fall River,41.4568,-71.8169
16623,EAST BRANCH LEADMINE BROOK,41.8056,-73.0639
15505,Sages Ravine Brook,42.0497,-73.4245
16416,Delphi Brook,42.0211,-72.2517
16944,PEAKE BROOK,41.9303,-71.9433
15543,Pease Brook,41.5947,-72.1923
16726,HART BROOK,41.8897,-73.2058
16862,MOOSEHORN BROOK,41.6767,-73.1347
16276,Latimer Brook,41.4375,-72.2253
16015,Murphy Brook,41.7828,-72.0398
16852,Miller Brook,41.5292,-71.9328
14718,Mount Misery Brook,41.603,-71.868
15024,Wood Creek,41.6387,-73.2362
16387,Hurricane Brook,42.033,-72.9207
14402,Poland River,41.6912,-73.0045
16191,Hall Meadow Brook,41.9173,-73.1949
14263,Kahn Brook,41.5681,-72.1702
16121,Flat Brook,41.5544,-72.4523
15991,Stratton Brook,41.8595,-72.8481
16857,MOHAWK POND OUTFLOW,41.8017,-73.2886
16124,Flat Brook,41.938249,-73.321123
15035,Spruce Brook,41.7472,-73.115
14863,Rocky Brook,42.0134,-71.802
17179,WEST ASPETUCK RIVER,41.6989,-73.4014
15499,West Branch Salmon Brook,41.94096,-72.834302
16758,HOWELL'S BROOK,42.0078,-73.0042
15855,Willow Brook (Hamden)-01,41.4472,-72.9083
15516,Valley Brook,42.0315,-72.9318
15509,Gunn Brook,41.806,-73.3903
17167,Wachocastinook Creek,41.9983,-73.4436
14866,Stickney Hill Brook,41.9833,-72.2179
16819,Lowden Brook,41.602805,-71.865569
