"","STA_SEQ","Station_Name","Sample_Date","SampYr","BCG_Attribute","SensitiveEPT","OTU","x"
"1",14441,"Salmon River","9/18/2012",2012,0,0,"Ablabesmyia",1
"2",14720,"Green Fall River","9/16/2014",2014,0,0,"Ablabesmyia",1
"3",14442,"Sandy Brook","9/14/2015",2015,0,0,"Ablabesmyia",1
"4",14441,"Salmon River","10/10/1997",1997,4,0,"Acari",1
"5",14442,"Sandy Brook","9/17/2008",2008,4,0,"Acari",1
"6",15312,"Beaver Brook","9/30/2009",2009,4,0,"Acari",1
"7",15020,"Eightmile River","10/15/2012",2012,4,0,"Acari",1
"8",14442,"Sandy Brook","10/3/2012",2012,4,0,"Acari",1
"9",15176,"Natchaug River","9/26/2012",2012,4,0,"Acari",1
"10",14314,"Natchaug River","10/22/1991",1991,4,0,"Acentrella",3
"11",14441,"Salmon River","10/23/1991",1991,4,0,"Acentrella",12
"12",14442,"Sandy Brook","11/4/1993",1993,4,0,"Acentrella",3
"13",14314,"Natchaug River","10/11/1994",1994,4,0,"Acentrella",1
"14",14470,"Tankerhoosen River","10/11/1994",1994,4,0,"Acentrella",1
"15",14441,"Salmon River","10/13/1994",1994,4,0,"Acentrella",44
"16",14442,"Sandy Brook","10/24/1994",1994,4,0,"Acentrella",1
"17",14442,"Sandy Brook","10/18/1995",1995,4,0,"Acentrella",3
"18",14441,"Salmon River","10/10/1997",1997,4,0,"Acentrella",13
"19",14442,"Sandy Brook","10/7/1997",1997,4,0,"Acentrella",8
"20",14484,"West Branch Salmon Brook","10/19/1998",1998,4,0,"Acentrella",1
"21",14442,"Sandy Brook","10/21/1998",1998,4,0,"Acentrella",1
"22",14314,"Natchaug River","10/23/1998",1998,4,0,"Acentrella",1
"23",14441,"Salmon River","10/27/1998",1998,4,0,"Acentrella",2
"24",14584,"Roaring Brook","10/13/1999",1999,4,0,"Acentrella",1
"25",14314,"Natchaug River","10/26/1999",1999,4,0,"Acentrella",3
"26",14314,"Natchaug River","10/2/2000",2000,4,0,"Acentrella",2
"27",14584,"Roaring Brook","10/3/2000",2000,4,0,"Acentrella",5
"28",14442,"Sandy Brook","10/5/2000",2000,4,0,"Acentrella",6
"29",14314,"Natchaug River","10/11/2001",2001,4,0,"Acentrella",1
"30",14441,"Salmon River","10/11/2001",2001,4,0,"Acentrella",9
"31",14442,"Sandy Brook","10/4/2001",2001,4,0,"Acentrella",18
"32",14314,"Natchaug River","10/18/2002",2002,4,0,"Acentrella",1
"33",14442,"Sandy Brook","10/8/2002",2002,4,0,"Acentrella",1
"34",14584,"Roaring Brook","10/2/2003",2003,4,0,"Acentrella",1
"35",14442,"Sandy Brook","11/12/2003",2003,4,0,"Acentrella",2
"36",14247,"Hollenbeck River","9/21/2006",2006,4,0,"Acentrella",7
"37",14442,"Sandy Brook","9/21/2006",2006,4,0,"Acentrella",4
"38",14842,"Indian Meadow Brook","9/17/2008",2008,4,0,"Acentrella",6
"39",14442,"Sandy Brook","9/17/2008",2008,4,0,"Acentrella",5
"40",14484,"West Branch Salmon Brook","9/22/2008",2008,4,0,"Acentrella",6
"41",14441,"Salmon River","9/23/2008",2008,4,0,"Acentrella",1
"42",16139,"Brown Brook","9/25/2008",2008,4,0,"Acentrella",1
"43",14442,"Sandy Brook","10/1/2009",2009,4,0,"Acentrella",4
"44",14441,"Salmon River","10/22/2009",2009,4,0,"Acentrella",1
"45",14441,"Salmon River","10/12/2011",2011,4,0,"Acentrella",2
"46",16143,"Little River","10/18/2011",2011,4,0,"Acentrella",3
"47",16139,"Brown Brook","10/21/2011",2011,4,0,"Acentrella",5
"48",14247,"Hollenbeck River","10/21/2011",2011,4,0,"Acentrella",13
"49",15240,"Hubbard Brook","11/10/2011",2011,4,0,"Acentrella",1
"50",14442,"Sandy Brook","11/10/2011",2011,4,0,"Acentrella",12
"51",14484,"West Branch Salmon Brook","11/10/2011",2011,4,0,"Acentrella",3
"52",16127,"Jakes Brook","11/8/2011",2011,4,0,"Acentrella",1
"53",14842,"Indian Meadow Brook","10/10/2012",2012,4,0,"Acentrella",15
"54",14484,"West Branch Salmon Brook","10/16/2012",2012,4,0,"Acentrella",5
"55",15499,"West Branch Salmon Brook","10/16/2012",2012,4,0,"Acentrella",4
"56",14442,"Sandy Brook","10/3/2012",2012,4,0,"Acentrella",3
"57",15240,"Hubbard Brook","10/15/2013",2013,4,0,"Acentrella",2
"58",14442,"Sandy Brook","10/15/2013",2013,4,0,"Acentrella",3
"59",15499,"West Branch Salmon Brook","10/15/2013",2013,4,0,"Acentrella",11
"60",16143,"Little River","10/17/2013",2013,4,0,"Acentrella",2
"61",16139,"Brown Brook","10/8/2013",2013,4,0,"Acentrella",2
"62",14247,"Hollenbeck River","10/8/2013",2013,4,0,"Acentrella",6
"63",14441,"Salmon River","9/19/2013",2013,4,0,"Acentrella",5
"64",14842,"Indian Meadow Brook","9/24/2014",2014,4,0,"Acentrella",7
"65",16114,"Rugg Brook","9/24/2014",2014,4,0,"Acentrella",1
"66",14484,"West Branch Salmon Brook","9/25/2014",2014,4,0,"Acentrella",11
"67",15499,"West Branch Salmon Brook","9/25/2014",2014,4,0,"Acentrella",2
"68",16139,"Brown Brook","9/29/2014",2014,4,0,"Acentrella",4
"69",16127,"Jakes Brook","9/29/2014",2014,4,0,"Acentrella",1
"70",14441,"Salmon River","9/15/2015",2015,4,0,"Acentrella",1
"71",15499,"West Branch Salmon Brook","9/15/2015",2015,4,0,"Acentrella",2
"72",14842,"Indian Meadow Brook","9/23/2015",2015,4,0,"Acentrella",6
"73",14442,"Sandy Brook","10/12/2016",2016,4,0,"Acentrella",2
"74",15499,"West Branch Salmon Brook","10/12/2016",2016,4,0,"Acentrella",2
"75",16114,"Rugg Brook","10/6/2016",2016,4,0,"Acentrella",1
"76",14470,"Tankerhoosen River","9/20/2016",2016,4,0,"Acentrella",1
"77",14314,"Natchaug River","10/16/2017",2017,4,0,"Acentrella",1
"78",15499,"West Branch Salmon Brook","10/17/2017",2017,4,0,"Acentrella",2
"79",15240,"Hubbard Brook","10/6/2017",2017,4,0,"Acentrella",1
"80",14442,"Sandy Brook","10/6/2017",2017,4,0,"Acentrella",6
"81",16139,"Brown Brook","10/21/2011",2011,0,0,"Acerpenna",1
"82",15240,"Hubbard Brook","11/10/2011",2011,0,0,"Acerpenna",1
"83",16114,"Rugg Brook","11/10/2011",2011,0,0,"Acerpenna",2
"84",16114,"Rugg Brook","10/10/2012",2012,0,0,"Acerpenna",1
"85",14720,"Green Fall River","9/19/2012",2012,0,0,"Acerpenna",1
"86",15176,"Natchaug River","9/16/2015",2015,0,0,"Acerpenna",1
"87",16114,"Rugg Brook","9/23/2015",2015,0,0,"Acerpenna",1
"88",14314,"Natchaug River","10/16/2017",2017,0,0,"Acerpenna",2
"89",14584,"Roaring Brook","10/3/2017",2017,0,0,"Acerpenna",1
"90",14314,"Natchaug River","11/7/1989",1989,3,1,"Acroneuria",3
"91",14314,"Natchaug River","10/22/1991",1991,3,1,"Acroneuria",4
"92",14441,"Salmon River","10/23/1991",1991,3,1,"Acroneuria",5
"93",14442,"Sandy Brook","11/4/1993",1993,3,1,"Acroneuria",2
"94",14314,"Natchaug River","10/11/1994",1994,3,1,"Acroneuria",1
